Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,25.8,ahmedabad,0.3,0,90,1,1,0,1,1.0,Chandkheda,792.0,3.0,0,1,1,0,0
1,145.0,ahmedabad,,0,90,3,1,1,0,3.0,Ambawadi,2045.0,,1,1,1,0,0
2,200.0,ahmedabad,1.0,2,270,3,1,1,0,3.0,Orchid Park Satellite,1575.0,11.0,0,1,1,0,1
3,55.0,ahmedabad,0.6,0,-1,2,0,-1,-1,2.0,Satellite,720.0,3.0,0,0,0,0,0
4,45.0,ahmedabad,0.75,1,-1,2,0,-1,-1,2.0,Nakshatra Aspire Narolgam,1044.0,9.0,0,0,0,0,0
5,35.0,ahmedabad,0.7142857142857143,0,-1,2,0,-1,-1,2.0,Samruddhi Anushri Residency Gota,0.0,5.0,0,0,0,0,0
6,88.0,ahmedabad,0.9,1,-1,2,0,-1,-1,3.0,"Pruthvi Tower Jodhpur Village, Jodhpur",0.0,9.0,0,0,0,0,0
7,25.0,ahmedabad,1.0,1,90,1,1,0,1,1.0,Siddhidhata Aditi Chandkheda,480.0,5.0,0,1,1,0,0
8,90.0,ahmedabad,0.4,0,-1,2,0,-1,-1,3.0,"Pruthvi Tower Jodhpur Village, Jodhpur",1320.0,4.0,0,0,0,0,0
9,100.0,ahmedabad,1.0,0,-1,3,0,-1,-1,3.0,"Pruthvi Tower Jodhpur Village, Jodhpur",1280.0,6.0,0,0,0,0,0
10,93.0,ahmedabad,0.4,1,-1,3,0,-1,-1,3.0,"Pruthvi Tower Jodhpur Village, Jodhpur",950.4000000000001,4.0,0,0,0,0,0
11,93.0,ahmedabad,0.4,1,-1,3,0,-1,-1,3.0,"Pruthvi Tower Jodhpur Village, Jodhpur",1280.0,4.0,0,0,0,0,0
12,55.0,ahmedabad,0.1,1,90,2,1,1,0,2.0,Bopal,0.0,1.0,1,1,1,0,0
13,23.0,ahmedabad,0.8571428571428571,0,-1,1,0,-1,-1,1.0,"Maninagar East, Maninagar",523.2,12.0,0,0,0,0,0
14,85.0,ahmedabad,1.0,1,-1,3,0,-1,-1,3.0,SAFAL PARIVESH Prahlad Nagar,1364.0,5.0,0,0,0,0,0
15,90.0,ahmedabad,1.0,0,-1,3,0,-1,-1,3.0,SAFAL PARIVESH Prahlad Nagar,1364.0,5.0,0,0,0,0,0
16,65.0,ahmedabad,,1,90,2,2,1,1,2.0,Thaltej,944.0,,0,0,1,0,0
17,25.0,ahmedabad,0.7142857142857143,0,90,1,1,0,1,1.0,Parshwa Residency Chandkheda,603.0,5.0,0,1,1,0,0
18,28.0,ahmedabad,0.2857142857142857,0,-1,1,0,-1,-1,1.0,Gigev Divit Hills Nikol,612.0,2.0,0,0,0,0,0
19,25.5,ahmedabad,1.0,0,-1,1,0,-1,-1,1.0,Gigev Divit Hills Nikol,705.6,7.0,0,0,0,0,0
20,230.0,ahmedabad,0.2,0,90,4,1,1,0,4.0,Riviera Elite Shela,2122.0,4.0,0,1,0,0,0
21,115.0,ahmedabad,0.5,0,90,3,1,1,0,3.0,Olive Greens Gota,1190.0,7.0,1,1,1,0,1
22,51.0,ahmedabad,0.2857142857142857,0,-1,3,0,-1,-1,3.0,Shreedhar Heaven Vastral,1188.0,2.0,0,0,0,0,0
23,35.0,ahmedabad,0.75,2,90,2,1,1,0,1.0,Aakash Residency Shela,576.8000000000001,9.0,0,0,1,0,0
24,45.0,ahmedabad,0.2,0,90,2,1,0,0,2.0,Gota,0.0,1.0,0,0,0,0,0
25,25.0,ahmedabad,0.4,0,90,1,1,0,1,1.0,Khyati Krishna 99 Chandkheda,576.0,2.0,0,1,1,0,0
26,27.0,ahmedabad,0.75,1,-1,1,0,-1,1,1.0,Sahibaugh Ahmedabad,0.0,3.0,0,0,1,0,0
27,42.0,ahmedabad,0.5714285714285714,2,45,1,1,1,0,1.0,Sai Green Valley Ghuma,777.6,4.0,0,1,1,0,0
