Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,560.0,bangalore,0.6,1,90,4,4,1,0,3.0,Prestige Exotica Cunningham Road,2750.0,6.0,0,1,0,0,0
1,8.0,bangalore,1.0,0,-1,2,1,-1,-1,2.0,Dream Paradise Kanakapura Road,30.0,3.0,0,0,0,0,0
2,70.0,bangalore,0.5555555555555556,1,-1,2,0,-1,-1,2.0,Concorde Manhattans Phase 1 Electronics City,1051.2,10.0,0,0,0,0,0
3,31.4,bangalore,0.5,0,90,1,1,1,0,1.0,Ds Max Springfield Hennur Main Road,454.0,2.0,1,1,1,0,1
4,150.0,bangalore,0.75,1,0,3,3,1,0,3.0,HBR Palace Hbr Layout,1395.0,3.0,0,1,1,0,0
5,70.0,bangalore,0.0,2,0,2,0,1,0,2.0,"Arcade Gloria Pattandur Agrahara, Whitefield",848.0,0.0,0,0,1,0,0
6,40.0,bangalore,0.25,0,90,2,2,-1,3,2.0,Artha Midas at Neo Smart City Hoskote,863.0,1.0,0,0,1,0,0
7,86.0,bangalore,0.8,1,45,2,1,1,0,2.0,DSR Ultima Haralur,1020.0,4.0,0,0,1,0,1
8,76.0,bangalore,0.6086956521739131,0,90,2,2,1,0,2.0,Sobha Dream Gardens Bellahalli,700.0,14.0,1,1,0,0,1
9,97.0,bangalore,0.25,1,-1,3,0,-1,-1,3.0,Whitefield,1200.0,1.0,0,0,0,0,0
10,95.0,bangalore,0.0,1,90,2,0,1,0,3.0,rekhi brooklyn Maruthi Sevanagar,1104.0,0.0,0,1,0,0,0
11,110.0,bangalore,0.8571428571428571,2,90,3,2,-1,0,3.0,MJ Lifestyle Amadeus Ambalipura Haralur,1194.4,12.0,0,0,1,0,0
12,280.0,bangalore,1.0,1,-1,3,0,-1,-1,3.0,Raheja Residency Koramangala,1600.0,7.0,0,0,0,0,0
13,62.0,bangalore,0.5263157894736842,1,90,1,0,1,0,1.0,Prestige Tranquility Budigere,662.0,10.0,0,1,0,0,0
14,150.0,bangalore,0.375,1,90,2,1,1,0,2.0,"Prestige Falcon City Anjanadri Layout, Konanakunte",1218.0,12.0,0,1,0,0,0
15,290.0,bangalore,0.3333333333333333,0,90,3,3,-1,0,3.0,PCOC Lanai Koramangala,1700.0,3.0,0,1,1,0,0
16,78.0,bangalore,0.7857142857142857,0,-1,2,1,-1,-1,2.0,"Provident Park Square Phase 4 Judicial Layout, Yelahanka",0.0,11.0,0,0,0,0,0
17,275.0,bangalore,0.631578947368421,0,90,4,1,-1,0,4.0,Sobha HRC Pristine Jakkur,1602.0,12.0,0,1,1,0,1
18,53.0,bangalore,1.0,0,0,2,2,1,0,2.0,Meenaakshi Gardenia Vidyaranyapura,790.0,3.0,1,0,1,0,0
19,180.0,bangalore,0.4,2,-1,3,0,-1,-1,3.0,August Park C V Raman Nagar,1463.2,4.0,0,0,0,0,0
20,166.0,bangalore,0.3333333333333333,0,-1,3,0,-1,-1,3.0,August Park C V Raman Nagar,1463.2,3.0,0,0,0,0,0
21,180.0,bangalore,0.9,1,-1,3,0,-1,-1,3.0,August Park Bhuvaneswari Nagar CV Raman Nagar,1491.2,9.0,0,0,0,0,0
22,185.0,bangalore,0.2222222222222222,1,-1,3,0,-1,-1,3.0,August Park C V Raman Nagar,1463.2,2.0,0,0,0,0,0
