iter	RMSE
0	98.46884498
1	97.57719031
2	96.76463813
3	95.94695307
4	95.1575159
5	94.37372887
6	93.59933233
7	92.76239996
8	91.97686835
9	91.228939
10	90.4897124
11	89.74480755
12	89.00536411
13	88.28082996
14	87.57269266
15	86.8754492
16	86.18665406
17	85.50374067
18	84.8246717
19	84.0943856
20	83.43478552
21	82.78366797
22	82.12406547
23	81.4094084
24	80.77890903
25	80.15695179
26	79.44696914
27	78.7806039
28	78.12679093
29	77.53275638
30	76.7807333
31	76.19426359
32	75.53846547
33	75.0894382
34	74.52195754
35	73.9617091
36	73.41182826
37	72.85023651
38	72.31438462
39	71.78039945
40	71.25219226
41	70.67325893
42	70.15753106
43	69.62424702
44	69.11544336
45	68.56348428
46	68.02496161
47	67.53754781
48	67.05612192
49	66.5839516
50	66.118665
51	65.66053237
52	65.20279084
53	64.69599898
54	64.24987256
55	63.80930117
56	63.36167842
57	62.89137215
58	62.29707573
59	61.8797236
60	61.31280597
61	60.8534866
62	60.44095286
63	60.04220679
64	59.64691374
65	59.26002789
66	58.83352219
67	58.41351897
68	58.03916544
69	57.66403301
70	57.13951854
71	56.70306602
72	56.34880462
73	55.81436121
74	55.46628281
75	55.12134672
76	54.62435089
77	54.28817728
78	53.79384285
79	53.45748488
80	53.13461872
81	52.76820494
82	52.45190457
83	52.12026756
84	51.69119395
85	51.38216586
86	51.07015855
87	50.77269331
88	50.4820031
89	50.0391345
90	49.74937969
91	49.33799033
92	49.05712537
93	48.63498508
94	48.34130937
95	48.01432196
96	47.75042827
97	47.36487714
98	47.10799285
99	46.85497119
100	46.60297884
101	46.33372083
102	45.97244294
103	45.5654967
104	45.32835378
105	44.97799537
106	44.74781497
107	44.48829743
108	44.25164435
109	43.91169849
110	43.69150091
111	43.46909561
112	43.08871411
113	42.87738117
114	42.66691101
115	42.46247844
116	42.24888603
117	42.02626057
118	41.78015905
119	41.5548012
120	41.34395306
121	41.15467166
122	40.9224488
123	40.7181897
124	40.52620009
125	40.34988287
126	40.17321606
127	39.98258066
128	39.77835718
129	39.51441976
130	39.244027
131	38.95032349
132	38.69116695
133	38.53029306
134	38.3680051
135	38.21456753
136	38.02306158
137	37.87309182
138	37.72466022
139	37.58050668
140	37.42449199
141	37.26723315
142	37.1255892
143	36.98765354
144	36.81397451
145	36.51429962
146	36.19375061
147	35.97025072
148	35.71702845
149	35.58420005
150	35.45904094
151	35.33255671
152	35.1215778
153	34.84868663
154	34.73926706
155	34.47564621
156	34.26580287
157	34.15037475
158	34.02599002
159	33.87509083
160	33.75139184
161	33.6075953
162	33.49994243
163	33.30024315
164	33.15879825
165	32.9703825
166	32.85142937
167	32.74505962
168	32.54792743
169	32.30799586
170	32.20172588
171	32.10039669
172	31.99127493
173	31.86489747
174	31.65996716
175	31.55206704
176	31.35170796
177	31.14226949
178	31.10045341
179	30.98390724
180	30.76853546
181	30.65664789
182	30.45290533
183	30.35507628
184	30.24305351
185	30.13239394
186	30.04633784
187	29.95297073
188	29.86325279
189	29.75353754
190	29.64509905
191	29.5364306
192	29.36222588
193	29.27801433
194	29.08347263
195	28.98611101
196	28.89325209
197	28.79469306
198	28.59978491
199	28.50548427
200	28.41370565
201	28.32359418
202	28.24710408
203	28.16214214
204	28.07222638
205	27.86614381
206	27.7832782
207	27.70536589
208	27.62515125
209	27.55410413
210	27.35945428
211	27.2752246
212	27.19972885
213	27.12250124
214	27.04551608
215	26.96611307
216	26.89301329
217	26.82066582
218	26.64330193
219	26.57266158
220	26.50408353
221	26.4357463
222	26.37706753
223	26.21414649
224	26.0705225
225	26.01245213
226	25.86209458
227	25.7943427
228	25.73107596
229	25.58496298
230	25.44474857
231	25.39083716
232	25.32736157
233	25.18053128
234	25.12173181
235	24.96362865
236	24.83697571
237	24.70896229
238	24.65270028
239	24.59799396
240	24.54271278
241	24.42357102
242	24.37066554
243	24.25357501
244	24.20156243
245	24.09196559
246	24.038666
247	23.92475127
248	23.87577295
249	23.82734731
250	23.70790511
251	23.61070076
252	23.56452086
253	23.52238424
254	23.47718574
255	23.35927558
256	23.25801839
257	23.14689731
258	23.10329091
259	23.00810605
260	22.90121615
261	22.85869007
262	22.7292926
263	22.63061722
264	22.54028488
265	22.50071581
266	22.41746365
267	22.37849516
268	22.25962392
269	22.1701974
270	22.05963681
271	22.02210759
272	21.98586052
273	21.88958446
274	21.84090631
275	21.74662336
276	21.65328768
277	21.57282261
278	21.53844172
279	21.45896221
280	21.3756888
281	21.27554328
282	21.19474123
283	21.12727066
284	21.10521769
285	21.07364142
286	21.04272265
287	21.02172023
288	20.93183058
289	20.8358014
290	20.75318982
291	20.72369435
292	20.69375867
293	20.61469198
294	20.53756199
295	20.44999583
296	20.421897
297	20.34811947
298	20.25821868
299	20.23844204
300	20.16904909
301	20.1423889
302	20.11529459
303	20.04907459
304	20.03038614
305	20.00649154
306	19.9381017
307	19.86827227
308	19.85019382
309	19.76757196
310	19.692494
311	19.62636093
312	19.53359014
313	19.51570918
314	19.49815821
315	19.4353648
316	19.41808859
317	19.33609921
318	19.26349324
319	19.19535822
320	19.17842942
321	19.10554026
322	19.04837043
323	19.03225591
324	18.97603062
325	18.95955858
326	18.94344294
327	18.88205991
328	18.83516905
329	18.76606841
330	18.75023035
331	18.68860267
332	18.63021965
333	18.57439343
334	18.55757875
335	18.49773352
336	18.48126547
337	18.45695724
338	18.43325614
339	18.42083029
340	18.38720083
341	18.33028871
342	18.31808263
343	18.27690646
344	18.25880483
345	18.2412574
346	18.18650832
347	18.16891785
348	18.15181595
349	18.13517776
350	18.07011607
351	18.01900685
352	17.96570415
353	17.92290708
354	17.91096663
355	17.86250863
356	17.85120047
357	17.83762558
358	17.81886072
359	17.80336209
360	17.78415578
361	17.76586426
362	17.74762399
363	17.70940826
364	17.66711164
365	17.60166613
366	17.58795825
367	17.52572259
368	17.4758513
369	17.46459873
370	17.45398613
371	17.40363402
372	17.35425817
373	17.31978582
374	17.2702111
375	17.21873848
376	17.20660924
377	17.15869906
378	17.14781124
379	17.13262395
380	17.12239884
381	17.07564301
382	17.0609143
383	17.05091028
384	17.01509336
385	16.99895281
386	16.98867041
387	16.9433752
388	16.90360374
389	16.84616344
390	16.8073998
391	16.7919016
392	16.74186734
393	16.7308367
394	16.7209383
395	16.71028553
396	16.65994616
397	16.62100852
398	16.58119349
399	16.56966803
400	16.54411493
401	16.5004883
402	16.49082906
403	16.48129481
404	16.47188836
405	16.46291708
406	16.45369951
407	16.40832907
408	16.39775606
409	16.38846402
410	16.33971813
411	16.33063654
412	16.2791251
413	16.23633495
414	16.22503488
415	16.21618167
416	16.18455972
417	16.14547378
418	16.13673002
419	16.12580141
420	16.11638933
421	16.10785095
422	16.06030257
423	16.02203079
424	16.01352338
425	16.00512066
426	15.95900444
427	15.90602538
428	15.89766565
429	15.88644352
430	15.87751672
431	15.8348048
432	15.82678797
433	15.7880418
434	15.75435696
435	15.72659667
436	15.68392642
437	15.67510853
438	15.63707687
439	15.60852008
440	15.60052545
441	15.59214069
442	15.58300874
443	15.57455035
444	15.53606288
445	15.52829558
446	15.52054432
447	15.48382907
448	15.47611978
449	15.46590256
450	15.45777786
451	15.44973196
452	15.44175681
453	15.4046423
454	15.36169992
455	15.35379079
456	15.31321668
457	15.28094526
458	15.24617982
459	15.2383742
460	15.19298071
461	15.18527529
462	15.17769553
463	15.17020968
464	15.16283728
465	15.15553991
466	15.11885481
467	15.11173513
468	15.10455934
469	15.08298192
470	15.07589508
471	15.06879814
472	15.06185654
473	15.05497441
474	15.01857918
475	15.01173627
476	15.00258279
477	14.99582874
478	14.98913307
479	14.97761252
480	14.97096498
481	14.96439006
482	14.95504669
483	14.91906125
484	14.91238278
485	14.90448831
486	14.88317294
487	14.87668625
488	14.86655194
489	14.82898213
490	14.79928937
491	14.79286165
492	14.78625221
493	14.74682491
494	14.74053773
495	14.70804053
496	14.67398669
497	14.6365612
498	14.60526463
499	14.59873391
500	14.56526246
501	14.5590811
502	14.55299761
503	14.54551178
504	14.5144174
505	14.5083865
506	14.50143406
507	14.48471011
508	14.47523166
509	14.46928758
510	14.44356705
511	14.43579303
512	14.40536674
513	14.3991738
514	14.39305076
515	14.3610864
516	14.35501727
517	14.32369555
518	14.31657108
519	14.30646405
520	14.27438628
521	14.26836633
522	14.26266339
523	14.23125341
524	14.19947754
525	14.17512967
526	14.14930505
527	14.1213126
528	14.0932756
529	14.06891157
530	14.03294668
531	13.99937086
532	13.96995363
533	13.96389972
534	13.95664591
535	13.95100677
536	13.94544287
537	13.93868692
538	13.91090146
539	13.88313301
540	13.85491259
541	13.84574106
542	13.83987643
543	13.83298589
544	13.82754069
545	13.80270759
546	13.79697299
547	13.76926013
548	13.76357665
549	13.73765972
550	13.71342002
551	13.7025525
552	13.68353837
553	13.6587957
554	13.63404531
555	13.62701245
556	13.62135586
557	13.59747028
558	13.59217779
559	13.58669226
560	13.57416915
561	13.56862679
562	13.56313395
563	13.55796893
564	13.55152204
565	13.52670537
566	13.50277367
567	13.48301647
568	13.4590605
569	13.43395965
570	13.40710482
571	13.37860281
572	13.37317489
573	13.36781108
574	13.34442265
575	13.33041834
576	13.32151992
577	13.31195316
578	13.30414585
579	13.29879263
580	13.27661751
581	13.25400342
582	13.2481227
583	13.24282642
584	13.2179652
585	13.21210711
586	13.19129703
587	13.18606795
588	13.18091259
589	13.17525524
590	13.15379303
591	13.14869268
592	13.12142532
593	13.09909336
594	13.07097228
595	13.04453205
596	13.03809606
597	13.03299541
598	13.01526439
599	13.01023094
600	12.98929354
601	12.98430595
602	12.96180408
603	12.95685847
604	12.92983183
605	12.91008852
606	12.89049151
607	12.86632201
608	12.85003539
609	12.83417404
610	12.81376062
611	12.80882822
612	12.80397723
613	12.79627385
614	12.78960754
615	12.78465694
616	12.7798319
617	12.75762263
618	12.73373375
619	12.72880815
620	12.71179017
621	12.69072093
622	12.68354555
623	12.65453169
624	12.63679511
625	12.63203721
626	12.6273452
627	12.60183724
628	12.59712396
629	12.59238187
630	12.58579419
631	12.58113997
632	12.57653102
633	12.55460447
634	12.53827673
635	12.53372093
636	12.5291994
637	12.51548106
638	12.51060356
639	12.50582958
640	12.50105462
641	12.49648497
642	12.49179944
643	12.48734633
644	12.48289733
645	12.47711766
646	12.47192208
647	12.46408665
648	12.44655077
649	12.44158827
650	12.42494327
651	12.42049046
652	12.39941124
653	12.39383648
654	12.38929378
655	12.38494202
656	12.37964206
657	12.36087682
658	12.34083523
659	12.31121034
660	12.30678554
661	12.30247132
662	12.29812281
663	12.27668607
664	12.27241509
665	12.26805666
666	12.25613616
667	12.23729973
668	12.23297267
669	12.22068848
670	12.20518304
671	12.19128263
672	12.18707761
673	12.18286174
674	12.17636657
675	12.17124035
676	12.16669227
677	12.16250822
678	12.14584113
679	12.13973677
680	12.11181886
681	12.10764563
682	12.10358368
683	12.09956387
684	12.08612383
685	12.08225484
686	12.07838368
687	12.04610948
688	12.04209317
689	12.02616186
690	12.02211733
691	12.01815245
692	11.9911316
693	11.97569018
694	11.97056478
695	11.96649688
696	11.93312464
697	11.9176904
698	11.90086624
699	11.88194779
700	11.8775313
701	11.85302798
702	11.84891886
703	11.82979268
704	11.82595202
705	11.8221027
706	11.80779363
707	11.80397783
708	11.78381832
709	11.77081026
710	11.76694144
711	11.76310968
712	11.75791943
713	11.75416106
714	11.7362228
715	11.73249392
716	11.72898214
717	11.71381033
718	11.70989797
719	11.69631365
720	11.67497873
721	11.66963132
722	11.66570087
723	11.64041903
724	11.63662751
725	11.63275013
726	11.62883321
727	11.61031904
728	11.60662092
729	11.60279706
730	11.58815731
731	11.57675627
732	11.57320517
733	11.56753401
734	11.54665718
735	11.52222749
736	11.50663631
737	11.49190133
738	11.4882284
739	11.46964891
740	11.44329373
741	11.42876407
742	11.41357261
743	11.41001917
744	11.40666686
745	11.40288173
746	11.39924103
747	11.39544307
748	11.39171621
749	11.38813978
750	11.37389116
751	11.37046252
752	11.34673024
753	11.32850102
754	11.32084997
755	11.30840087
756	11.30469176
757	11.30118666
758	11.29782545
759	11.28362288
760	11.27813408
761	11.26592232
762	11.26225999
763	11.25656069
764	11.25317441
765	11.24953581
766	11.22003062
767	11.21656117
768	11.20294137
769	11.18808368
770	11.18441433
771	11.1584329
772	11.14845816
773	11.13099125
774	11.12735426
775	11.12374917
776	11.11053553
777	11.10609386
778	11.10248684
779	11.08705606
780	11.08348613
781	11.07994876
782	11.07643229
783	11.07312124
784	11.06962303
785	11.06482229
786	11.06133514
787	11.05786415
788	11.05451026
789	11.05129153
790	11.04785356
791	11.03617471
792	11.03274437
793	11.02627181
794	11.02307213
795	11.01946078
796	11.01505628
797	11.01165484
798	11.00826836
799	10.99192762
