iter	Passed	Remaining
0	2	2888
1	5	2495
2	7	2394
3	9	2453
4	12	2453
5	14	2469
6	17	2475
7	18	2344
8	21	2415
9	24	2458
10	27	2465
11	29	2447
12	31	2412
13	34	2421
14	36	2418
15	39	2419
16	41	2401
17	43	2397
18	46	2420
19	49	2414
20	51	2421
21	54	2409
22	56	2401
23	58	2383
24	61	2380
25	63	2373
26	68	2460
27	72	2514
28	76	2553
29	79	2561
30	83	2603
31	86	2613
32	92	2703
33	95	2718
34	99	2756
35	103	2770
36	106	2772
37	110	2785
38	113	2806
39	117	2817
40	120	2817
41	123	2810
42	126	2808
43	130	2825
44	132	2817
45	135	2799
46	137	2783
47	139	2760
48	141	2740
49	144	2748
50	147	2750
51	149	2717
52	151	2712
53	154	2711
54	157	2703
55	159	2692
56	162	2683
57	164	2670
58	166	2656
59	168	2639
60	170	2624
61	172	2611
62	174	2599
63	177	2593
64	179	2587
65	181	2566
66	183	2552
67	185	2540
68	187	2531
69	189	2520
70	192	2512
71	194	2506
72	196	2497
73	198	2485
74	200	2473
75	202	2459
76	204	2447
77	206	2435
78	208	2432
79	210	2426
80	212	2413
81	214	2400
82	216	2390
83	218	2377
84	220	2369
85	221	2359
86	224	2358
87	226	2350
88	228	2341
89	230	2333
90	232	2322
91	234	2312
92	236	2302
93	238	2295
94	240	2293
95	242	2285
96	244	2275
97	246	2268
98	248	2257
99	249	2248
100	251	2239
101	253	2232
102	255	2228
103	258	2223
104	259	2214
105	261	2204
106	263	2195
107	264	2185
108	266	2176
109	267	2167
110	270	2165
111	272	2161
112	274	2153
113	276	2145
114	277	2137
115	279	2129
116	281	2121
117	282	2114
118	285	2110
119	287	2106
120	289	2099
121	290	2091
122	292	2084
123	293	2076
124	295	2068
125	296	2057
126	298	2051
127	300	2048
128	302	2044
129	304	2039
130	306	2034
131	309	2032
132	310	2026
133	312	2020
134	314	2014
135	315	2003
136	317	1997
137	319	1992
138	321	1988
139	323	1985
140	324	1979
141	326	1973
142	328	1967
143	330	1964
144	332	1960
145	334	1956
146	336	1951
147	337	1941
148	338	1935
149	340	1929
150	342	1924
151	344	1919
152	345	1913
153	347	1908
154	349	1904
155	351	1900
156	352	1894
157	354	1888
158	356	1883
159	357	1878
160	359	1872
161	361	1867
162	362	1862
163	364	1857
164	366	1854
165	368	1850
166	369	1845
167	371	1840
168	373	1836
169	375	1831
170	376	1827
171	378	1823
172	380	1818
173	382	1815
174	384	1811
175	385	1806
176	387	1802
177	389	1798
178	391	1794
179	392	1789
180	394	1784
181	396	1780
182	398	1776
183	399	1773
184	401	1768
185	403	1766
186	405	1764
187	408	1762
188	409	1759
189	411	1754
190	413	1751
191	415	1749
192	417	1746
193	420	1746
194	422	1743
195	423	1738
196	425	1735
197	427	1731
198	429	1728
199	431	1726
200	433	1723
201	435	1719
202	436	1715
203	438	1711
204	440	1706
205	441	1702
206	443	1698
207	445	1696
208	447	1693
209	449	1689
210	450	1686
211	452	1682
212	454	1679
213	456	1676
214	458	1672
215	459	1668
216	462	1667
217	464	1664
218	466	1661
219	468	1659
220	470	1657
221	471	1654
222	473	1650
223	475	1647
224	477	1645
225	479	1642
226	481	1638
227	482	1635
228	484	1631
229	486	1628
230	488	1624
231	489	1621
232	492	1620
233	494	1618
234	496	1615
235	498	1613
236	500	1611
237	502	1609
238	504	1606
239	506	1603
240	508	1600
241	510	1598
242	512	1596
243	514	1594
244	516	1591
245	518	1588
246	520	1586
247	521	1582
248	523	1579
249	525	1577
250	527	1575
251	530	1574
252	532	1571
253	534	1568
254	536	1566
255	537	1562
256	539	1559
257	541	1557
258	543	1555
259	545	1552
260	547	1549
261	549	1546
262	551	1544
263	552	1541
264	554	1538
265	556	1536
266	559	1535
267	560	1531
268	562	1529
269	564	1526
270	566	1524
271	568	1521
272	570	1518
273	572	1515
274	574	1513
275	576	1511
276	578	1509
277	580	1507
278	582	1505
279	584	1503
280	586	1501
281	588	1497
282	590	1495
283	592	1493
284	594	1491
285	596	1489
286	598	1486
287	600	1484
288	602	1481
289	604	1479
290	606	1477
291	608	1474
292	610	1472
293	612	1470
294	614	1468
295	616	1466
296	618	1463
297	620	1460
298	621	1457
299	624	1456
300	626	1454
301	628	1452
302	630	1450
303	632	1448
304	634	1445
305	636	1443
306	638	1441
307	640	1439
308	643	1439
309	645	1437
310	647	1435
311	649	1433
312	651	1430
313	653	1427
314	655	1424
315	657	1423
316	660	1422
317	662	1420
318	664	1418
319	666	1415
320	667	1412
321	669	1410
322	671	1408
323	674	1406
324	675	1403
325	677	1401
326	679	1398
327	681	1395
328	683	1393
329	684	1390
330	687	1388
331	689	1386
332	691	1384
333	693	1382
334	695	1379
335	696	1376
336	698	1374
337	700	1371
338	702	1370
339	705	1369
340	707	1367
341	710	1366
342	712	1363
343	713	1361
344	715	1358
345	717	1356
346	719	1354
347	722	1352
348	724	1350
349	726	1349
350	728	1346
351	730	1344
352	732	1341
353	733	1339
354	736	1337
355	738	1336
356	740	1334
357	742	1331
358	744	1328
359	746	1326
360	747	1323
361	749	1321
362	751	1319
363	754	1317
364	756	1315
365	757	1313
366	759	1310
367	761	1308
368	763	1306
369	765	1303
370	767	1301
371	769	1299
372	771	1297
373	773	1295
374	775	1293
375	777	1290
376	779	1288
377	781	1285
378	783	1283
379	785	1281
380	787	1279
381	788	1276
382	790	1274
383	792	1271
384	794	1269
385	796	1266
386	798	1264
387	800	1262
388	802	1260
389	804	1258
390	806	1255
391	808	1253
392	810	1251
393	811	1248
394	813	1246
395	815	1244
396	818	1242
397	820	1241
398	822	1239
399	824	1236
400	826	1234
401	828	1231
402	830	1229
403	832	1227
404	834	1225
405	836	1223
406	838	1221
407	839	1218
408	841	1216
409	843	1214
410	845	1211
411	847	1209
412	849	1207
413	851	1205
414	853	1203
415	855	1200
416	857	1198
417	858	1195
418	860	1193
419	862	1191
420	865	1189
421	866	1187
422	868	1185
423	870	1183
424	872	1180
425	874	1178
426	876	1176
427	878	1174
428	881	1173
429	883	1171
430	885	1168
431	887	1166
432	889	1164
433	891	1162
434	893	1160
435	896	1159
436	898	1157
437	901	1156
438	903	1154
439	904	1151
440	906	1149
441	908	1146
442	910	1145
443	912	1143
444	914	1140
445	917	1139
446	919	1137
447	921	1134
448	923	1132
449	925	1130
450	927	1129
451	930	1127
452	932	1125
453	934	1123
454	936	1122
455	938	1120
456	941	1118
457	943	1116
458	946	1115
459	948	1113
460	950	1111
461	952	1109
462	954	1106
463	956	1104
464	958	1102
465	960	1100
466	962	1098
467	964	1096
468	966	1093
469	967	1091
470	969	1089
471	971	1086
472	973	1084
473	975	1082
474	977	1080
475	979	1078
476	981	1075
477	982	1073
478	985	1071
479	986	1069
480	988	1067
481	991	1065
482	993	1062
483	994	1060
484	996	1058
485	998	1056
486	1000	1053
487	1002	1051
488	1004	1049
489	1006	1047
490	1008	1045
491	1010	1043
492	1012	1041
493	1014	1039
494	1016	1037
495	1018	1034
496	1020	1032
497	1022	1030
498	1024	1028
499	1026	1026
500	1028	1024
501	1029	1021
502	1031	1019
503	1033	1017
504	1035	1014
505	1037	1012
506	1039	1010
507	1041	1008
508	1043	1006
509	1045	1004
510	1046	1001
511	1048	999
512	1050	997
513	1052	994
514	1054	993
515	1056	991
516	1058	988
517	1060	986
518	1062	984
519	1064	982
520	1065	979
521	1067	977
522	1069	975
523	1071	973
524	1073	971
525	1075	969
526	1077	967
527	1079	964
528	1081	962
529	1083	960
530	1085	958
531	1088	957
532	1090	955
533	1092	953
534	1094	950
535	1096	948
536	1097	946
537	1100	944
538	1102	942
539	1104	940
540	1106	938
541	1108	936
542	1110	934
543	1112	932
544	1114	930
545	1115	927
546	1117	925
547	1120	923
548	1121	921
549	1123	919
550	1125	917
551	1127	914
552	1129	912
553	1131	910
554	1133	908
555	1135	906
556	1137	904
557	1139	902
558	1140	900
559	1142	897
560	1144	895
561	1146	893
562	1148	891
563	1150	889
564	1152	887
565	1154	885
566	1156	882
567	1158	880
568	1160	878
569	1162	876
570	1163	874
571	1165	872
572	1167	870
573	1169	867
574	1171	865
575	1172	863
576	1174	861
577	1176	858
578	1177	856
579	1179	854
580	1181	852
581	1183	850
582	1185	848
583	1187	845
584	1189	843
585	1191	841
586	1192	839
587	1194	837
588	1196	835
589	1198	833
590	1200	830
591	1202	828
592	1203	826
593	1205	824
594	1207	821
595	1209	819
596	1210	817
597	1212	815
598	1214	813
599	1216	811
600	1218	809
601	1220	807
602	1222	804
603	1224	802
604	1225	800
605	1227	798
606	1229	796
607	1231	794
608	1233	791
609	1235	790
610	1237	787
611	1239	785
612	1241	783
613	1242	781
614	1244	779
615	1246	777
616	1248	775
617	1250	773
618	1252	770
619	1254	768
620	1256	766
621	1258	764
622	1259	762
623	1262	760
624	1264	758
625	1266	756
626	1267	754
627	1269	752
628	1271	749
629	1273	747
630	1275	745
631	1277	743
632	1279	741
633	1281	740
634	1283	737
635	1285	735
636	1287	733
637	1289	731
638	1290	729
639	1293	727
640	1295	725
641	1297	723
642	1298	721
643	1300	718
644	1302	716
645	1304	714
646	1305	712
647	1307	710
648	1310	708
649	1312	706
650	1314	704
651	1316	702
652	1317	700
653	1319	698
654	1321	696
655	1323	694
656	1325	692
657	1327	690
658	1329	688
659	1331	685
660	1333	683
661	1335	681
662	1336	679
663	1338	677
664	1340	675
665	1342	673
666	1344	671
667	1346	669
668	1347	666
669	1349	664
670	1352	663
671	1354	661
672	1356	659
673	1359	657
674	1361	655
675	1362	653
676	1364	651
677	1366	648
678	1368	646
679	1369	644
680	1372	642
681	1374	640
682	1375	638
683	1377	636
684	1379	634
685	1380	632
686	1383	630
687	1384	627
688	1386	625
689	1388	623
690	1390	621
691	1392	619
692	1393	617
693	1395	615
694	1397	613
695	1399	611
696	1400	609
697	1402	606
698	1404	604
699	1406	602
700	1408	600
701	1410	598
702	1412	596
703	1414	594
704	1415	592
705	1417	590
706	1419	588
707	1421	586
708	1423	584
709	1425	582
710	1426	579
711	1428	577
712	1429	575
713	1431	573
714	1433	571
715	1435	569
716	1437	567
717	1439	565
718	1441	563
719	1442	561
720	1444	559
721	1446	556
722	1448	554
723	1449	552
724	1452	550
725	1454	548
726	1455	546
727	1457	544
728	1459	542
729	1460	540
730	1462	538
731	1464	536
732	1465	533
733	1467	531
734	1469	529
735	1472	528
736	1474	526
737	1475	523
738	1477	521
739	1478	519
740	1480	517
741	1482	515
742	1484	513
743	1486	511
744	1488	509
745	1489	507
746	1491	505
747	1493	503
748	1494	500
749	1496	498
750	1498	496
751	1500	494
752	1502	492
753	1503	490
754	1505	488
755	1507	486
756	1509	484
757	1511	482
758	1513	480
759	1515	478
760	1517	476
761	1520	474
762	1522	472
763	1523	470
764	1525	468
765	1527	466
766	1529	464
767	1531	462
768	1533	460
769	1535	458
770	1536	456
771	1538	454
772	1540	452
773	1542	450
774	1543	448
775	1545	446
776	1547	444
777	1549	442
778	1551	440
779	1553	438
780	1554	436
781	1556	433
782	1558	431
783	1560	429
784	1562	427
785	1564	425
786	1566	423
787	1568	421
788	1570	419
789	1571	417
790	1573	415
791	1575	413
792	1576	411
793	1579	409
794	1581	407
795	1583	405
796	1585	403
797	1586	401
798	1588	399
799	1590	397
800	1593	395
801	1595	393
802	1597	391
803	1599	390
804	1602	388
805	1605	386
806	1609	384
807	1611	382
808	1613	380
809	1616	379
810	1618	377
811	1620	375
812	1621	373
813	1623	371
814	1625	368
815	1627	367
816	1629	365
817	1631	363
818	1633	361
819	1635	359
820	1637	356
821	1639	354
822	1640	352
823	1643	350
824	1645	349
825	1647	347
826	1649	345
827	1651	343
828	1652	340
829	1655	338
830	1656	336
831	1658	334
832	1660	332
833	1662	330
834	1664	328
835	1666	326
836	1668	324
837	1670	322
838	1672	320
839	1674	318
840	1676	316
841	1678	315
842	1680	312
843	1682	310
844	1684	308
845	1685	306
846	1687	304
847	1689	302
848	1692	300
849	1694	298
850	1696	296
851	1698	294
852	1699	292
853	1701	290
854	1703	288
855	1705	286
856	1707	284
857	1709	282
858	1711	281
859	1713	278
860	1715	276
861	1717	274
862	1718	272
863	1720	270
864	1722	268
865	1724	266
866	1726	264
867	1728	262
868	1729	260
869	1731	258
870	1733	256
871	1735	254
872	1737	252
873	1739	250
874	1742	248
875	1743	246
876	1745	244
877	1747	242
878	1749	240
879	1751	238
880	1752	236
881	1755	234
882	1757	232
883	1758	230
884	1760	228
885	1762	226
886	1763	224
887	1765	222
888	1767	220
889	1769	218
890	1771	216
891	1773	214
892	1775	212
893	1776	210
894	1778	208
895	1780	206
896	1782	204
897	1783	202
898	1786	200
899	1788	198
900	1790	196
901	1792	194
902	1794	192
903	1795	190
904	1797	188
905	1799	186
906	1801	184
907	1803	182
908	1805	180
909	1808	178
910	1810	176
911	1811	174
912	1813	172
913	1815	170
914	1817	168
915	1819	166
916	1821	164
917	1823	162
918	1825	160
919	1827	158
920	1829	156
921	1830	154
922	1832	152
923	1834	150
924	1837	148
925	1838	146
926	1840	144
927	1842	142
928	1844	140
929	1846	138
930	1848	136
931	1850	134
932	1852	133
933	1854	131
934	1856	129
935	1858	127
936	1860	125
937	1861	123
938	1863	121
939	1865	119
940	1867	117
941	1870	115
942	1872	113
943	1875	111
944	1878	109
945	1881	107
946	1884	105
947	1886	103
948	1888	101
949	1890	99
950	1892	97
951	1895	95
952	1896	93
953	1898	91
954	1900	89
955	1902	87
956	1904	85
957	1906	83
958	1907	81
959	1910	79
960	1912	77
961	1914	75
962	1916	73
963	1918	71
964	1919	69
965	1921	67
966	1923	65
967	1925	63
968	1927	61
969	1929	59
970	1931	57
971	1933	55
972	1934	53
973	1936	51
974	1938	49
975	1940	47
976	1942	45
977	1944	43
978	1945	41
979	1947	39
980	1949	37
981	1951	35
982	1952	33
983	1954	31
984	1956	29
985	1958	27
986	1960	25
987	1962	23
988	1963	21
989	1965	19
990	1967	17
991	1968	15
992	1970	13
993	1972	11
994	1974	9
995	1976	7
996	1978	5
997	1980	3
998	1982	1
999	1984	0
