Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,175.0,chennai,,1,0,3,0,1,0,3.0,Chamiers Road,1480.0,,0,0,1,0,0
1,149.0,chennai,,1,90,3,0,1,0,3.0,Besant Nagar,1200.0,,0,0,1,0,0
2,850.0,chennai,,1,90,3,0,1,0,3.0,Besant Nagar,1360.0,,0,0,1,0,0
3,78.5,chennai,0.2,0,0,2,1,1,0,3.0,Madipakkam,1208.0,1.0,1,0,1,0,0
4,64.1,chennai,0.6,0,90,2,1,1,0,2.0,Puzhuthivakkam,986.0,3.0,1,0,1,0,0
5,125.0,chennai,1.0,1,90,3,2,1,0,3.0,Valasaravakkam,950.0,2.0,0,0,1,0,0
6,45.0,chennai,1.0,0,90,2,1,-1,0,2.0,palikarranai Chennai,640.0,2.0,0,0,0,0,0
7,1200.0,chennai,0.5,2,-1,3,0,-1,-1,,"Krishna Nagar Alapakkam, Chennai Chennai",0.0,1.0,0,0,0,0,0
8,56.0,chennai,0.3333333333333333,2,0,2,1,-1,0,2.0,Pallikaranai,750.0,1.0,1,0,0,0,0
9,201.0,chennai,0.3333333333333333,0,0,3,1,1,0,3.0,Kamaraj Avenue,1238.4,1.0,1,0,1,0,0
10,70.0,chennai,0.75,1,-1,3,1,-1,-1,3.0,VGN Imperia Phase I Poonamallee,1083.2,3.0,0,0,0,0,0
11,65.0,chennai,0.6666666666666666,1,-1,2,0,-1,-1,2.0,Saligramam,640.0,2.0,0,0,0,0,0
12,90.0,chennai,0.5,1,-1,2,0,-1,-1,3.0,Fairylands Maple Velachery,996.8000000000001,1.0,0,0,0,0,0
13,50.7,chennai,0.6666666666666666,0,90,2,2,-1,0,2.0,Santhosapuram,724.0,2.0,1,0,1,0,0
14,31.5,chennai,0.0,0,0,2,0,-1,0,2.0,Kovilambakkam,600.0,0.0,0,0,0,0,0
15,30.0,chennai,0.6,0,90,2,2,-1,-1,2.0,VBHC Oragdam Oragadam,850.0,3.0,0,0,0,0,0
16,36.0,chennai,0.5,2,315,2,3,1,0,2.0,Krishna Nagar Tambaram,935.0,1.0,0,0,0,0,0
17,90.0,chennai,0.6,2,270,2,1,1,0,2.0,Padi,770.4000000000001,3.0,1,1,1,0,0
18,52.0,chennai,0.5,0,0,2,2,-1,0,2.0,Santhosapuram,732.8000000000001,1.0,1,0,1,0,0
19,120.0,chennai,0.5,0,90,4,2,-1,0,3.0,Manapakkam,1500.0,1.0,0,1,0,0,0
20,50.0,chennai,1.0,1,180,2,1,-1,0,2.0,Rangarajapuram West Mambalam,920.0,2.0,0,0,0,0,0
21,76.0,chennai,0.0,0,90,2,1,-1,0,3.0,Thoraipakkam,1357.0,0.0,0,0,1,0,0
22,45.0,chennai,0.25,2,90,2,1,-1,0,2.0,Arihant Frangipani Siruseri,720.0,1.0,0,1,0,0,0
23,60.0,chennai,0.0,1,180,2,0,1,0,2.0,Sadasiva Nagar Madipakkam,700.0,0.0,0,1,1,0,0
24,78.0,chennai,0.3333333333333333,0,90,2,1,1,0,2.0,Prestige Courtyards Sholinganallur,989.6,1.0,1,0,0,0,1
25,110.0,chennai,0.75,2,-1,3,0,-1,-1,3.0,Project Nolambur Nolambur,981.6,3.0,0,0,0,0,0
