Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,65.0,faridabad,0.25,1,-1,3,0,-1,-1,3.0,"New Industrial Township 5, Mathura Road",1025.0,1.0,-1,0,0,0,0
1,87.0,faridabad,0.25,0,270,3,1,-1,0,4.0,"Sector 37, Mathura Road",1825.0,1.0,0,1,1,0,0
2,103.0,faridabad,0.25,1,0,3,2,1,0,3.0,Sector 85,1800.0,1.0,1,0,1,0,0
3,85.0,faridabad,0.2666666666666667,1,90,4,3,0,0,3.0,RPS Savana Sector 88,1662.0,4.0,0,1,0,0,0
4,110.0,faridabad,0.25,1,0,4,2,1,0,4.0,"Greenfield Colony, Mathura Road",2000.0,1.0,1,1,1,0,1
5,54.0,faridabad,0.5294117647058824,1,90,2,2,1,0,2.0,KLJ Greens Sector 77,1087.0,9.0,0,1,0,0,0
6,40.2,faridabad,0.3333333333333333,1,45,2,2,1,0,3.0,"Sainik Colony, Sector 49",0.0,1.0,0,1,1,0,1
7,40.0,faridabad,0.5,0,90,2,3,0,0,2.0,Neharpar,1080.0,2.0,0,1,0,0,0
8,35.0,faridabad,,-1,-1,0,0,-1,-1,2.0,Era Redwood Residency Sector 78,920.0,,0,0,0,0,0
9,86.0,faridabad,0.25,1,90,3,2,0,0,3.0,Neharpar,1800.0,1.0,0,0,1,0,0
10,225.0,faridabad,0.75,1,0,5,5,-1,0,5.0,"Greenfield Colony, Mathura Road",4500.0,3.0,0,0,1,0,0
11,72.0,faridabad,0.5454545454545454,1,-1,3,0,-1,-1,3.0,"Kanishka Towers Sector 37, Mathura Road",1136.0,6.0,0,0,0,0,0
12,54.0,faridabad,0.05882352941176471,1,90,2,2,0,0,2.0,RPS Savana Sector 88,1100.0,1.0,0,0,1,0,0
13,155.0,faridabad,0.5,1,90,4,2,1,0,4.0,Sector 85,2350.0,2.0,1,1,1,0,0
14,89.0,faridabad,0.75,2,-1,3,0,-1,-1,3.0,Sector 77,1104.0,3.0,0,0,0,0,0
15,150.0,faridabad,1.0,1,0,4,4,-1,0,4.0,"Greenfield Colony, Mathura Road",3000.0,4.0,0,0,1,0,0
16,89.0,faridabad,0.75,2,-1,3,0,-1,-1,3.0,"Parklands Pride, Sector 77, Faridabad NCR Faridabad",1104.0,3.0,0,0,0,0,0
17,50.0,faridabad,0.5555555555555556,0,90,2,3,0,0,2.0,Omaxe Heights Sector 86,1050.0,5.0,0,1,0,0,0
18,140.0,faridabad,1.0,0,270,3,2,1,0,4.0,"Ashoka Enclave Part 2, Sector 37, Mathura Road",2100.0,4.0,0,0,1,0,0
19,75.0,faridabad,0.4117647058823529,1,0,3,3,1,0,3.0,KLJ Greens Sector 77,1480.0,7.0,0,1,0,0,1
20,42.0,faridabad,0.2307692307692308,1,270,2,2,1,0,2.0,Mulberry County Sector 70,668.0,3.0,0,1,1,0,1
21,105.0,faridabad,0.25,1,90,3,2,1,0,3.0,Sector 85,1850.0,1.0,1,0,1,0,0
22,19.9,faridabad,0.4285714285714285,0,-1,2,2,-1,0,2.0,Conscient Habitat 78 Sector 78,586.0,6.0,1,0,0,0,0
23,24.5,faridabad,0.4666666666666667,0,90,2,2,-1,0,2.0,Conscient Habitat 78 Sector 78,750.0,7.0,0,0,1,0,0
24,65.0,faridabad,1.0,1,90,2,3,1,0,2.0,BPTP Discovery Park Sector 80,1000.0,3.0,0,1,0,0,0
25,101.0,faridabad,0.5,1,90,3,2,1,0,3.0,Sector 85,0.0,2.0,1,0,1,0,0
26,34.3,faridabad,0.4666666666666667,0,0,2,2,-1,0,3.0,Conscient Habitat 78 Sector 78,950.0,7.0,0,0,1,0,0
27,50.0,faridabad,0.6666666666666666,0,-1,3,0,-1,-1,3.0,"New Industrial Township 1 Block K, New Industrial Township",0.0,2.0,0,0,0,0,0
28,70.0,faridabad,0.8571428571428571,1,315,4,2,1,1,3.0,The Krystal CGHSL Sector 48,1420.0,6.0,1,1,1,0,0
29,125.0,faridabad,0.5,1,0,4,3,-1,0,4.0,"Greenfield Colony, Mathura Road",2500.0,2.0,0,0,1,0,0
