Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,55.0,greater-noida,0.6190476190476191,2,-1,2,3,-1,-1,2.0,Ace Platinum Zeta 1,920.0,13.0,1,0,1,0,0
1,80.0,greater-noida,0.0,1,-1,3,0,0,-1,3.0,Sushant Megapolis Greater Noida,1338.4,0.0,0,0,0,0,0
2,79.6,greater-noida,0.5,1,45,2,4,-1,3,3.0,AIG Royal Greater Noida West,1057.0,10.0,0,1,1,0,1
3,69.8,greater-noida,0.5,1,45,2,3,-1,3,2.0,AIG Royal Greater Noida West,968.0,10.0,0,1,1,0,1
4,70.0,greater-noida,0.4736842105263158,1,90,2,2,1,3,2.0,CGEWHO Phase 1 Phi 2,1120.0,9.0,0,1,1,0,1
5,90.1,greater-noida,0.5555555555555556,1,45,3,3,1,3,2.0,Sector 10,770.0,15.0,0,0,1,0,0
6,95.1,greater-noida,0.88,1,45,2,3,1,3,3.0,Noida Extention,1100.0,22.0,0,1,0,0,0
7,63.7,greater-noida,1.0,1,135,2,3,1,3,2.0,Nirala Greenshire Greater Noida West,700.0,26.0,0,1,0,0,0
8,220.0,greater-noida,0.8,1,45,2,3,1,3,3.0,Noida Extention,2050.0,20.0,0,1,0,0,0
9,80.0,greater-noida,0.5185185185185185,1,45,3,4,1,3,3.0,Spring Elmas Greater Noida West,1300.0,14.0,1,1,0,0,0
10,40.0,greater-noida,0.3181818181818182,1,-1,2,3,-1,-1,2.0,Noida Extention,892.0,7.0,1,0,0,0,0
11,40.0,greater-noida,0.76,1,-1,2,4,-1,-1,2.0,Mahagun Mantra 1 Sector 10,1025.0,19.0,0,0,0,0,0
12,158.0,greater-noida,0.4761904761904762,1,90,3,3,1,0,3.0,Gaur Saundaryam Greater Noida West,1550.0,10.0,0,1,1,0,1
13,103.0,greater-noida,0.2666666666666667,1,45,3,4,1,3,3.0,ATS Dolce Zeta 1,1440.0,8.0,0,1,1,0,1
14,55.0,greater-noida,0.5,1,-1,2,3,-1,-1,2.0,Designarch eHomes Surajpur,1100.0,7.0,0,0,0,0,0
15,85.0,greater-noida,0.4545454545454545,2,90,3,4,1,3,3.0,6th Avenue Greater Noida West,1176.0,10.0,0,0,1,0,0
16,67.0,greater-noida,0.5333333333333333,0,90,3,3,-1,-1,3.0,"Home and Soul Beetle Lap Tech Zone, Gautam Budh Nagar, Yamuna Expressway",1715.0,8.0,0,1,0,0,0
17,52.0,greater-noida,0.2,1,45,2,3,1,3,2.0,6th Avenue Greater Noida West,784.0,4.0,0,1,0,0,0
18,28.7,greater-noida,0.0,1,90,2,2,1,0,2.0,Twin Celestial Sector 1 Greater Noida West,770.0,0.0,1,0,1,0,0
19,46.0,greater-noida,0.8571428571428571,0,45,2,3,1,0,3.0,Devika Gold Homz Phase 2 Sector 1,1100.0,12.0,0,0,1,0,0
20,107.0,greater-noida,0.3103448275862069,1,45,2,3,1,3,3.0,ATS Dolce Zeta 1,1400.0,9.0,0,1,0,0,0
21,45.0,greater-noida,0.3125,0,-1,3,0,-1,-1,3.0,"Mayfair Residency Tech Zone, Gautam Budh Nagar, Yamuna Expressway",1192.0,5.0,0,0,0,0,0
22,95.0,greater-noida,0.25,1,90,3,2,-1,3,3.0,Aspire Nirala Gold Greater Noida West,1620.0,1.0,1,1,1,0,0
23,140.0,greater-noida,0.5263157894736842,1,90,4,4,1,3,4.0,CGEWHO Phase 1 Phi 2,2100.0,10.0,0,1,1,0,1
24,54.3,greater-noida,,0,-1,2,0,1,-1,2.0,Paramount Golfforeste Premium Apartments Sector-Zeta,1008.0,,1,0,0,0,0
25,59.1,greater-noida,,0,-1,2,0,1,-1,3.0,Paramount Golfforeste Premium Apartments Sector-Zeta,1244.0,,1,0,0,0,0
