Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool,Group
0,35.0,indore,1.0,2,-1,2,0,-1,0,2.0,Shubham Residency Rajendra Nagar Colony,810.0,6.0,0,1,0,0,0,100-199
1,25.0,indore,0.25,1,-1,1,0,-1,-1,1.0,Chanakya complex malwa mil Indore,360.0,1.0,0,0,0,0,0,100-199
2,165.0,indore,0.4,2,90,4,3,1,0,4.0,Saket Nagar,1900.0,2.0,0,1,1,0,0,100-199
3,,indore,0.3333333333333333,0,-1,0,0,-1,-1,,Omaxe City Indore,240.0,1.0,0,0,0,0,0,100-199
4,55.0,indore,0.4,0,-1,2,2,-1,0,2.0,Manglam Heights Vallabh Nagar,900.0,4.0,0,0,0,0,0,100-199
5,85.0,indore,0.0,1,90,3,3,1,0,3.0,Silver Springs Indore Bypass Road,2071.0,0.0,0,1,1,0,0,100-199
6,23.1,indore,0.3333333333333333,0,90,1,1,1,0,1.0,Shiv Vatika Brij Residency MR 11,431.0,2.0,1,1,0,0,0,100-199
7,37.0,indore,0.6666666666666666,1,90,2,1,-1,0,2.0,Shalimar Swayam MR 10,985.0,4.0,0,0,0,0,0,100-199
8,25.0,indore,0.75,1,315,2,2,-1,0,2.0,Indore Bypass Road,750.0,3.0,0,0,0,0,0,100-199
9,18.0,indore,0.5,0,90,1,1,1,0,1.0,Super Corridor,400.0,3.0,1,1,1,0,1,100-199
10,70.0,indore,0.25,2,-1,2,1,1,-1,2.0,Khatiwala Tank,717.0,1.0,0,0,0,0,0,100-199
11,50.0,indore,0.75,2,-1,2,1,-1,-1,2.0,Regency Palace Anoop Nagar,800.0,3.0,0,0,0,0,0,100-199
12,,indore,0.5,1,-1,2,1,-1,-1,2.0,gulmohar vatika-1 scheme no 114 part-1 Indore,850.0,2.0,0,0,0,0,0,100-199
13,21.0,indore,0.6666666666666666,1,90,1,1,1,0,1.0,Divya Vihar Ujjain Road Pologround Industrial Estate,500.0,4.0,0,1,1,0,1,100-199
14,70.0,indore,0.3333333333333333,0,180,2,3,-1,0,2.0,Apollo DB City,890.0,5.0,0,0,1,0,0,100-199
15,270.0,indore,0.8571428571428571,0,180,5,4,1,0,5.0,Apollo DB City Apollo DB City,3573.0,12.0,0,0,1,0,0,100-199
16,55.0,indore,0.1666666666666667,1,270,3,1,1,0,3.0,Limbodi,1250.0,1.0,0,1,1,0,0,100-199
17,360.0,indore,0.4,0,90,6,5,1,0,5.0,Bicholi Mardana,4100.0,4.0,1,1,1,0,0,100-199
18,100.0,indore,0.5,1,-1,2,2,-1,-1,3.0,Scheme no 78 Vijaynagar Indore Vijay Nagar,831.0,3.0,0,0,0,0,0,100-199
19,13.0,indore,0.5,0,90,2,1,-1,0,1.0,Sarthak Singapore Nest AB Road,550.0,3.0,0,1,0,0,1,100-199
20,22.3,indore,0.5,0,90,1,1,1,0,1.0,Shiv Vatika Brij Residency MR 11,481.6,3.0,1,1,1,0,0,100-199
21,,indore,0.5,1,-1,3,0,-1,-1,3.0,Bijalpur,1406.4,3.0,0,0,0,0,0,100-199
22,,indore,0.75,2,-1,2,1,-1,-1,2.0,Sapna Sangeeta Road,604.0,3.0,0,0,0,0,0,100-199
23,29.0,indore,0.3,0,-1,2,1,-1,-1,3.0,Kalindi Mid Town Indore Bypass Road,1051.0,3.0,0,0,0,0,0,100-199
24,35.0,indore,0.5,0,-1,2,2,1,-1,2.0,Palsikar Colony,880.0,1.0,0,0,0,0,0,100-199
25,70.0,indore,1.0,2,180,3,2,1,0,3.0,Ahinsa Tower Shikrapur,1200.0,6.0,0,0,1,0,0,100-199
26,57.0,indore,0.8571428571428571,0,90,3,1,1,0,3.0,Empire Victoria Park Bicholi Mardana,1555.2,6.0,0,1,0,0,0,100-199
27,14.0,indore,0.4,1,270,1,1,0,0,1.0,Limbodi,492.0,2.0,0,1,1,0,0,100-199
28,186.0,indore,0.5555555555555556,0,-1,3,1,-1,0,4.0,Dilpasand Green Schmene No 140,2129.6,5.0,0,1,0,0,0,100-199
29,25.0,indore,0.4,1,270,2,1,1,0,2.0,Limbodi,840.0,2.0,0,1,1,0,0,100-199
30,37.0,indore,0.2,1,270,3,1,1,0,3.0,Limbodi,1028.0,1.0,0,1,1,0,0,100-199
31,18.0,indore,0.0,0,90,1,1,-1,0,2.0,Kalindi Gold City Super Corridor,600.0,0.0,0,1,1,0,0,100-199
32,55.0,indore,0.25,1,90,3,2,1,0,2.0,Scheme No -103,1125.0,1.0,0,0,1,0,0,100-199
33,,indore,1.0,1,-1,2,0,-1,-1,2.0,Royal Greens Vijay Nagar,980.0,6.0,0,0,0,0,0,100-199
34,30.0,indore,0.6666666666666666,1,90,2,1,1,0,2.0,Kanadia Road Savindnagar,640.0,2.0,0,0,1,0,0,100-199
35,190.0,indore,0.5555555555555556,1,-1,3,2,1,0,4.0,Dilpasand Green Schmene No 140,2129.6,5.0,0,1,0,0,0,100-199
36,,indore,,1,-1,2,2,-1,-1,2.0,gurusmpada nepaniya Indore,750.0,,0,0,0,0,0,100-199
37,,indore,0.25,2,-1,1,1,-1,-1,1.0,Scheme No -114,528.0,1.0,1,0,0,0,0,100-199
38,28.0,indore,0.1666666666666667,1,90,2,2,-1,0,2.0,Shreeji Heights Bicholi Mardana,688.0,1.0,0,0,1,0,0,100-199
39,31.0,indore,0.1666666666666667,0,90,2,2,-1,-1,3.0,Dream City Talawali Chanda,1070.4,1.0,1,0,1,0,0,100-199
40,53.0,indore,0.5,0,0,2,4,-1,0,2.0,Dhanwantri Nagar,882.0,1.0,0,0,0,0,0,100-199
41,,indore,1.0,1,-1,2,0,-1,-1,3.0,Gomatgiri Indore,960.0,4.0,0,0,0,0,0,100-199
42,120.0,indore,0.3,1,270,3,1,-1,0,3.0,Shalimar Township,1440.0,3.0,0,0,1,0,0,100-199
43,319.0,indore,0.875,0,-1,4,4,1,0,4.0,The Residence Bicholi Mardana,4126.400000000001,7.0,0,0,0,0,0,100-199
44,30.0,indore,0.7142857142857143,0,-1,2,0,-1,-1,2.0,"Sapna Sangeeta Road, Indore Indore",680.0,5.0,0,0,0,0,0,100-199
45,343.0,indore,0.875,0,-1,4,1,1,0,4.0,The Residence Bicholi Mardana,4434.400000000001,7.0,0,0,0,0,0,100-199
46,429.0,indore,0.875,0,-1,5,5,1,0,5.0,The Residence Bicholi Mardana,5544.8,7.0,0,0,0,0,0,100-199
47,494.0000000000001,indore,0.875,0,-1,6,5,1,0,6.0,The Residence Bicholi Mardana,6376.0,7.0,0,0,1,0,0,100-199
