Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,230.0,gurgaon,0.5,1,90,3,3,-1,0,3.0,Dhoot Time Residency Sector 63,1685.0,11.0,1,1,1,0,1
1,260.0,gurgaon,0.5294117647058824,0,90,3,3,-1,0,3.0,Emaar The Palm Drive Sector 66,1900.0,9.0,0,1,1,0,1
2,,gurgaon,0.1153846153846154,0,0,2,3,1,0,2.0,SS The Leaf Sector 85,1230.0,3.0,0,1,0,0,1
3,379.0,gurgaon,0.48,1,0,5,2,1,0,3.0,Elevate Sector 59,2295.0,12.0,0,1,0,0,0
4,285.0,gurgaon,1.0,1,45,4,2,1,0,4.0,Aradhya Homes Sector 67,2600.0,4.0,1,0,1,0,0
5,105.0,gurgaon,1.0,1,-1,3,3,1,0,3.0,Supertech Araville Sector 79,1945.0,3.0,0,1,0,0,0
6,450.0,gurgaon,0.25,1,45,5,3,1,0,4.0,Vodafone Belvedere Towers Rapid Metro,3100.0,1.0,1,1,1,0,0
7,145.0,gurgaon,0.5333333333333333,1,0,3,3,1,0,3.0,Emaar Palm Gardens Sector 83,1300.0,8.0,0,1,1,0,0
8,665.0,gurgaon,1.0,1,0,6,3,1,0,5.0,Raisina Residenc Golf course Extension Road,5500.0,15.0,0,1,0,0,0
9,155.0,gurgaon,0.6666666666666666,1,-1,3,0,-1,-1,3.0,"Ardee City, Sector 52",1512.0,2.0,0,0,0,0,0
10,170.0,gurgaon,0.5,1,90,3,2,-1,0,3.0,"Whiteland Blissville Sector 76, Delhi Gurgaon Expressway",1064.0,2.0,0,1,1,0,1
11,180.0,gurgaon,0.4666666666666667,0,90,4,3,-1,1,3.0,SS The Leaf Sector 85,1926.4,7.0,0,1,1,0,0
12,200.0,gurgaon,1.0,1,90,3,3,0,0,3.0,Emaar Mgf Emerald Floors Sector 65,1100.0,2.0,0,1,1,0,1
13,225.0,gurgaon,0.25,1,45,4,2,1,0,4.0,Sushant Lok 2,0.0,1.0,1,1,1,0,0
14,200.0,gurgaon,0.1785714285714286,1,45,2,2,1,0,2.0,Emaar Digi Homes Sector 62,1200.0,5.0,0,1,1,0,1
15,105.0,gurgaon,0.75,1,90,2,0,-1,0,2.0,M3M Antalya Hills Phase I Sector 79,920.0,3.0,0,1,1,0,1
16,215.0,gurgaon,0.1666666666666667,1,45,2,2,1,0,2.0,Emaar Digi Homes Sector 62,1200.0,5.0,0,1,1,0,1
17,190.0,gurgaon,1.0,1,135,3,2,-1,0,3.0,RWA Builder Floor DLF City Phase 2,1550.0,4.0,1,1,1,0,1
18,369.0,gurgaon,1.0,1,90,4,2,1,0,4.0,"South City 2, Sector 49",2478.0,4.0,1,1,1,0,0
19,214.0,gurgaon,0.0,0,0,3,3,1,0,4.0,SS The Leaf Sector 85,2249.6,0.0,0,1,0,0,1
20,88.0,gurgaon,0.7272727272727273,1,45,2,2,0,0,3.0,Tulip Orange Sector 70,1050.0,8.0,0,1,1,0,1
21,225.0,gurgaon,0.75,1,90,3,2,-1,0,3.0,"Luxury Floors Gurgaon Dlf City Phase 4, Sector 28",1825.0,3.0,1,1,1,0,1
22,280.0,gurgaon,0.25,1,315,4,2,-1,0,4.0,"Luxury Floors Gurgaon Dlf City Phase 4, Sector 28",2430.0,1.0,1,1,1,0,1
23,128.0,gurgaon,0.6666666666666666,1,90,3,3,0,0,3.0,Uppal Southend Sector 49,1500.0,2.0,0,0,1,0,0
24,125.0,gurgaon,0.7142857142857143,1,0,2,3,1,0,2.0,Godrej Aria Sector 79,1195.2,10.0,0,0,0,0,1
25,120.0,gurgaon,0.3333333333333333,1,270,3,3,0,0,3.0,"SS Southend Uppal Southend, Sector 49, Sohna Road",1000.0,1.0,0,0,0,0,0
26,290.0,gurgaon,0.2857142857142857,1,45,4,4,1,0,4.0,ATS Kocoon Sector 109,2699.0,6.0,0,1,0,0,1
27,212.0,gurgaon,,1,-1,3,0,1,-1,3.0,"BPTP Terra Sector 37D, Delhi Gurgaon Expressway",1770.4,,1,0,0,0,0
28,165.0,gurgaon,0.4285714285714285,1,90,4,4,1,0,4.0,DLF Regal Gardens Sector 90,1800.0,9.0,0,1,1,0,1
29,735.0,gurgaon,0.1904761904761905,0,0,4,4,-1,0,4.0,Pioneer Presidia Golf course Extension Road,3000.0,4.0,0,1,0,0,0
30,260.0,gurgaon,0.3125,1,45,4,4,1,0,4.0,DLF The Primus Sector 82A,1850.0,5.0,0,1,1,0,1
31,100.0,gurgaon,0.06666666666666667,1,90,2,2,-1,0,2.0,Eros Wembley Estate Sector 50,832.0,1.0,0,1,1,0,1
32,500.0,gurgaon,0.5238095238095238,1,45,4,4,1,0,3.0,Suncity Platinum Towers Mehrauli Gurgaon Road,2148.8,11.0,0,1,0,0,1
