Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,60.0,hyderabad,0.5,2,270,2,1,1,0,2.0,Happy Homes Supreme Gachibowli,1150.0,2.0,0,0,1,0,0
1,153.0,hyderabad,0.1153846153846154,1,90,2,1,1,0,2.0,My Home Krishe Nanakaramguda,950.0,3.0,0,1,0,0,0
2,100.0,hyderabad,0.0,0,-1,6,0,-1,-1,6.0,"Moosapet, NH 9",800.0,0.0,0,0,0,0,0
3,175.0,hyderabad,1.0,2,180,3,2,-1,0,3.0,Aditya DSR LakeSide Gachibowli,1760.0,8.0,0,1,1,0,0
4,150.0,hyderabad,0.25,1,0,3,2,-1,0,3.0,Nagole,1900.0,1.0,0,0,1,0,0
5,160.0,hyderabad,,0,-1,3,0,-1,-1,3.0,Om Sree Heights Yapral,2044.0,,1,0,0,0,0
6,52.0,hyderabad,0.2,0,0,2,2,1,0,2.0,Gajularamaram,800.8000000000001,1.0,1,0,0,0,0
7,75.0,hyderabad,1.0,0,270,2,2,-1,0,2.0,"Shirdi Sai Nagar, Manikonda",1154.0,5.0,0,0,1,0,0
8,330.0,hyderabad,0.8888888888888888,2,45,5,2,1,0,4.0,Aparna Hights 2 Kondapur,2968.0,8.0,0,1,1,0,0
9,45.0,hyderabad,0.75,1,-1,2,0,-1,-1,2.0,"Miyapur, NH 9",800.0,3.0,0,0,0,0,0
10,145.0,hyderabad,0.1363636363636364,1,270,2,0,1,-1,3.0,Aparna Cyberscape Nalagandla,1228.0,3.0,0,0,0,0,0
11,150.0,hyderabad,0.0,0,-1,2,0,-1,-1,2.0,Ameenpur,0.0,0.0,0,0,0,0,0
12,84.0,hyderabad,0.2,0,-1,2,1,-1,-1,3.0,Aparna Kanopy Marigold Kompally,1080.0,3.0,0,0,0,0,0
13,222.0,hyderabad,0.8387096774193549,0,270,4,2,-1,0,3.0,MARINA SKIES Hyderabad,2220.0,26.0,0,1,0,0,1
14,110.0,hyderabad,0.8,1,270,4,0,1,0,4.0,"Panchavati Apartments Pragathi Nagar, Kukatpally",2850.0,4.0,0,1,1,0,1
15,,hyderabad,0.0,1,-1,2,2,-1,-1,2.0,Chanda Nagar,1070.0,0.0,0,0,0,0,0
16,389.0,hyderabad,0.5555555555555556,1,90,3,3,1,0,3.0,My Home Abhra Madhapur,2076.0,10.0,0,0,1,0,0
17,90.0,hyderabad,0.2857142857142857,1,270,3,2,-1,0,3.0,Medha Rejoice Apartments Radha Krishna Nagar Attapur,1250.0,2.0,0,1,0,0,0
18,110.0,hyderabad,0.5,1,-1,2,0,1,-1,3.0,"Banjara Hills, NH 9",1920.0,2.0,0,0,0,0,0
19,68.0,hyderabad,0.6,2,-1,2,1,-1,-1,2.0,"Giridhari Homes Rise Kismatpur, Outer Ring Road",1150.0,3.0,0,0,0,0,0
20,55.0,hyderabad,0.5,2,270,2,2,1,0,2.0,Bhoodevinagar,900.0,2.0,0,0,0,0,0
21,194.0,hyderabad,0.1666666666666667,0,270,3,2,-1,0,3.0,Lansum Eden Gardens Kondapur,1600.0,2.0,1,1,0,0,1
22,80.0,hyderabad,0.3076923076923077,0,-1,2,0,-1,-1,3.0,"Miyapur, NH 9",831.2,4.0,0,0,0,0,0
23,69.0,hyderabad,0.6,1,270,2,2,-1,0,3.0,Sivaji Nagar Chandanagar,1250.0,3.0,0,1,0,0,0
24,117.0,hyderabad,0.4,0,-1,3,0,1,-1,3.0,"The Lawnz Kokapet, Outer Ring Road",1452.0,2.0,1,0,0,0,0
25,,hyderabad,0.7,2,-1,3,0,-1,-1,3.0,"RTC COLONY, TIRMIGHERRY SECUNDERABAD Hyderabad",2010.0,7.0,0,0,0,0,0
26,86.1,hyderabad,0.2,0,-1,3,0,1,-1,3.0,"The Lawnz Kokapet, Outer Ring Road",1060.0,1.0,1,0,0,0,0
27,166.0,hyderabad,0.1,0,0,3,2,1,0,3.0,Golf Edge Gachibowli,2000.0,3.0,0,1,0,0,0
28,220.0,hyderabad,0.5588235294117647,0,90,3,3,-1,0,3.0,Prestige High Fields Gachibowli,1594.4,19.0,1,1,1,0,1
29,50.0,hyderabad,1.0,2,90,2,0,1,0,2.0,Hayathnagar Khalsa,712.0,5.0,0,0,1,0,0
30,85.0,hyderabad,0.3,1,90,3,2,-1,0,3.0,"Janapriya Nile Valley Miyapur, NH 9",1430.0,3.0,0,1,0,0,0
31,177.0,hyderabad,1.0,1,270,2,2,-1,0,3.0,Aparna Serene Park Kondapur,1192.0,19.0,0,1,1,0,1
32,112.0,hyderabad,0.9,1,90,3,2,1,0,3.0,Aparna Cyber Commune Nalagandla,1300.0,9.0,0,1,0,0,0
33,52.0,hyderabad,0.0,1,90,2,2,0,0,2.0,Nizampet,1250.0,0.0,0,0,0,0,0
34,140.0,hyderabad,0.8,1,-1,2,2,1,0,3.0,"Indralok Complex Banjara Hills, NH 9",1640.0,4.0,0,0,1,0,0
35,95.0,hyderabad,0.8,2,-1,2,1,-1,-1,2.0,"Madhavaram Venkaiah Nilayam Kukatpally, NH 9",1000.0,4.0,0,1,1,0,0
36,48.1,hyderabad,,0,-1,2,0,1,-1,2.0,Marams Garlapati Homes Adibatla,854.4000000000001,,1,0,0,0,0
37,53.9,hyderabad,,0,-1,2,0,1,-1,2.0,Marams Garlapati Homes Adibatla,957.6,,1,0,0,0,0
38,195.0,hyderabad,0.04,0,90,3,1,1,2,3.0,Bollineni Bion Kondapur,1472.0,1.0,1,1,1,0,0
39,140.0,hyderabad,1.0,2,-1,3,2,-1,0,3.0,Kondapur,1652.0,6.0,0,0,0,0,0
40,207.0,hyderabad,0.875,0,90,3,1,1,0,3.0,"My Home Tarkshya Kokapet, Outer Ring Road",1565.6,28.0,1,1,1,0,0
41,48.0,hyderabad,0.75,0,45,1,0,1,0,2.0,"Malakpet, NH 9",800.0,3.0,0,0,1,0,0
42,44.0,hyderabad,1.0,1,270,2,1,-1,0,2.0,Janapriya Arcadia Kowkoor,925.0,5.0,0,1,1,0,1
43,100.0,hyderabad,0.2307692307692308,1,-1,2,2,-1,-1,3.0,"SMR Vinay City Miyapur, NH 9",1196.0,3.0,0,0,0,0,0
44,140.0,hyderabad,0.5,-1,-1,3,0,-1,-1,3.0,Irram Manzil Colony,1304.0,2.0,0,0,0,0,0
45,56.0,hyderabad,0.2,1,0,2,0,-1,-1,2.0,"Golden Homes Maruthi Recidency , Maruthi hill lane, Ameenpur Hyderabad",780.0,1.0,0,0,0,0,0
46,221.0,hyderabad,0.1052631578947368,0,270,3,3,-1,0,3.0,Lansum Etania Gachibowli,1968.0,2.0,1,1,0,0,0
47,97.0,hyderabad,0.4,1,90,2,1,-1,0,2.0,"Sanjeeva Reddy Nagar, NH 9",1085.0,2.0,0,0,1,0,0
48,107.0,hyderabad,1.0,1,90,3,2,1,0,3.0,Sri Sai Nagar Madhapur,1548.0,5.0,1,1,0,0,0
