Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,52.5,jaipur,0.6666666666666666,1,45,2,2,1,0,3.0,Mansarovar Extension,1102.4,4.0,1,1,1,0,0
1,54.0,jaipur,0.6666666666666666,1,45,2,2,1,0,3.0,Shree Ganesham Green Space Mansarovar,1189.6,4.0,1,1,1,0,0
2,34.5,jaipur,0.1666666666666667,1,90,2,2,1,0,2.0,JVJ Antillia Jagatpura,900.0,1.0,1,1,1,0,0
3,,jaipur,0.0,2,180,2,1,0,0,3.0,Devi Nagar,1050.0,0.0,0,0,1,0,0
4,46.6,jaipur,0.25,0,90,2,3,1,0,2.0,Manglam Aananda Mansarovar,1060.0,3.0,1,1,1,0,1
5,,jaipur,0.75,1,-1,2,0,-1,-1,3.0,A G height Anandam Society Jaipur,920.0,3.0,0,0,0,0,0
6,57.0,jaipur,0.4166666666666667,1,-1,3,3,-1,0,3.0,Royal Essence Vaishali Nagar,1203.2,5.0,0,0,0,0,0
7,14.0,jaipur,,0,-1,0,0,-1,-1,,Tonk Road,310.4,,0,0,0,0,0
8,96.0,jaipur,0.6666666666666666,2,0,3,2,1,0,3.0,Mayfair Elite Vaishali Nagar,1181.6,4.0,1,0,1,0,0
9,65.0,jaipur,0.6666666666666666,0,315,2,2,0,0,2.0,Panchratan Apartments Rajendra Nagar,1160.0,2.0,0,1,1,0,0
10,96.0,jaipur,0.3333333333333333,2,270,3,2,1,0,3.0,Mayfair Elite Vaishali Nagar,1182.4,2.0,1,0,1,0,0
11,46.0,jaipur,0.2307692307692308,0,90,2,3,1,0,2.0,Mansarovar Extension,1060.0,3.0,1,1,1,0,1
12,72.0,jaipur,1.0,0,-1,3,1,-1,0,4.0,Riddhi Siddhi Enclave Jagatpura,1520.0,4.0,0,0,0,0,0
13,33.0,jaipur,0.5,1,90,2,1,-1,0,2.0,Vaishali Nagar,756.0,3.0,1,1,1,0,1
14,75.0,jaipur,0.3333333333333333,1,90,4,2,1,0,4.0,Mansarovar Extension,1200.0,1.0,1,1,1,0,0
15,42.0,jaipur,0.3333333333333333,1,-1,2,2,1,0,3.0,Mansarovar Extension,950.0,1.0,1,1,1,0,0
16,67.4,jaipur,0.5,1,90,3,2,1,0,3.0,Gopal Pura By Pass,1198.4,3.0,1,0,1,0,0
