Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,110.0,kolkata,0.1428571428571428,1,180,3,2,1,0,3.0,Elita Garden Vista Phase 2 New Town,1348.0,4.0,1,0,1,0,0
1,100.0,kolkata,0.625,0,270,2,1,-1,0,3.0,Salarpuria Silver Oak Estate Rajarhat,1209.6,5.0,0,0,0,0,1
2,75.0,kolkata,0.3333333333333333,0,135,2,1,1,0,3.0,Prince Anwar Shah Road,1000.0,1.0,1,0,1,0,0
3,8.0,kolkata,0.0,0,-1,1,0,-1,-1,,Kestopur,136.0,0.0,0,0,0,0,0
4,135.0,kolkata,0.45,0,135,3,1,0,0,3.0,Mani Casa New Town,1001.0,9.0,0,1,0,0,0
5,46.0,kolkata,1.0,0,180,2,1,-1,-1,2.0,Kalipark,1020.0,5.0,0,1,1,0,0
6,38.0,kolkata,0.5,1,-1,2,0,-1,-1,3.0,Behala,880.0,2.0,0,0,0,0,0
7,68.0,kolkata,0.1666666666666667,1,180,2,1,1,0,3.0,Green Heights II Rajarhat,950.0,2.0,0,0,0,0,0
8,60.0,kolkata,0.25,0,-1,2,0,1,-1,2.0,Suriaprabha Cooperative Housing Society Ltd Action Area I,1000.0,1.0,1,0,0,0,0
9,63.0,kolkata,0.3333333333333333,0,90,2,1,-1,0,2.0,Ideal Enclave Phase II Rajarhat,944.0,3.0,0,0,0,0,1
10,95.0,kolkata,0.0,2,-1,2,0,-1,-1,3.0,Durgapur Colony,1088.0,0.0,0,0,0,0,0
11,32.0,kolkata,0.0,0,90,2,1,-1,0,3.0,Ichapur,1050.0,0.0,0,0,1,0,0
12,210.0,kolkata,0.9166666666666666,1,180,3,1,1,0,3.0,Golf Towers Tollygunge,1700.0,11.0,0,0,1,0,0
13,29.0,kolkata,1.0,0,180,2,1,-1,0,2.0,Jheel Road,720.0,3.0,0,1,0,0,0
14,490.0,kolkata,0.2,0,225,4,2,1,0,5.0,"Hazra, Kalighat",2824.0,1.0,0,1,0,0,0
15,13.0,kolkata,0.0,0,90,2,2,0,0,2.0,AMRITA Abasan I Rajpur Sonarpur,481.6,0.0,0,0,0,0,0
16,43.5,kolkata,0.9,0,225,2,2,-1,0,3.0,Genexx Valley Joka,735.0,9.0,0,0,1,0,0
17,70.0,kolkata,0.4,0,90,2,1,-1,1,2.0,New Alipore,880.0,2.0,0,0,1,0,1
18,70.0,kolkata,0.75,0,180,2,1,1,0,3.0,Urban Sabujayan Mukundapur,1016.8,3.0,0,1,0,0,0
19,325.0,kolkata,0.5111111111111111,0,135,3,1,1,3,3.0,Anandapur,1700.0,23.0,0,1,0,0,0
20,275.0,kolkata,0.075,0,0,3,1,1,3,3.0,Anandapur,1400.0,3.0,0,1,0,0,0
21,70.0,kolkata,0.75,2,-1,2,1,-1,-1,2.0,Swastic Manor Tiljala,663.2,3.0,0,0,0,0,0
22,65.0,kolkata,0.2857142857142857,0,90,2,1,-1,0,3.0,Prudent Prana Garia,927.2,2.0,0,0,1,0,0
23,80.0,kolkata,0.75,0,135,3,1,-1,-1,3.0,"Picnic Garden, Tiljala",1082.0,3.0,0,0,0,0,0
24,30.0,kolkata,1.0,0,-1,1,0,-1,-1,2.0,Baranagar,546.4,3.0,0,0,0,0,0
25,25.5,kolkata,0.75,2,180,1,1,-1,0,2.0,Rathtala Kolkata,544.0,3.0,0,0,1,0,0
26,,kolkata,0.2592592592592592,1,135,3,1,1,0,3.0,South City Bel Air Gopal Nagar,2720.0,7.0,0,1,1,0,0
27,40.0,kolkata,0.6666666666666666,0,90,2,1,-1,-1,2.0,Behala,640.0,2.0,1,1,1,0,0
28,92.0,kolkata,1.0,0,90,3,3,0,0,3.0,Windsor Heights Eastern Metropolitan Bypass,950.0,3.0,0,0,1,0,0
29,33.5,kolkata,0.6428571428571429,0,45,2,1,-1,-1,2.0,Shapoorji Pallonji Housing Complex Action Area III,480.0,9.0,0,0,0,0,0
30,40.0,kolkata,0.25,1,-1,2,0,-1,-1,2.0,"Naktala, Garia",680.0,1.0,0,0,0,0,0
31,500.0,kolkata,1.0,1,-1,2,0,-1,0,2.0,Alipore,750.0,3.0,0,1,0,0,0
32,475.0,kolkata,0.3333333333333333,0,315,4,1,1,0,4.0,Swarna Mani Eastern Metropolitan Bypass,2700.0,10.0,0,0,1,0,0
33,60.0,kolkata,0.8,1,-1,2,0,-1,-1,3.0,"Mahamaya Tala, Kolkata Kolkata",960.0,4.0,0,0,0,0,0
34,650.0,kolkata,0.25,0,135,4,1,1,0,4.0,Arch Shivam Elgin,2800.0,3.0,0,0,1,0,0
35,680.0,kolkata,0.8333333333333334,0,135,4,1,1,0,4.0,Raghu Estates Gopal Nagar,2892.0,10.0,0,0,1,0,0
36,110.0,kolkata,0.5,0,180,2,2,1,0,3.0,Elita Garden Vista Phase 2 Gouranganagar,1140.8,9.0,0,0,1,0,0
37,75.0,kolkata,1.0,0,-1,2,1,1,0,2.0,The One Tollygunge,522.4,17.0,0,0,0,0,0
38,74.0,kolkata,0.1428571428571428,0,-1,2,0,-1,-1,2.0,Avani Oxford 2 Jessore Road,862.4000000000001,2.0,0,0,0,0,0
39,70.0,kolkata,0.9,0,225,1,1,-1,0,1.0,Sahapur New Alipore,650.0,9.0,0,1,1,0,0
40,90.0,kolkata,0.5,1,180,4,1,0,0,4.0,Vedic Duplex Natura Rajarhat,1699.2,2.0,0,0,1,0,0
41,23.0,kolkata,1.0,0,135,1,1,-1,0,2.0,Shibpur,500.0,5.0,0,0,0,0,0
42,280.0,kolkata,0.6,1,135,4,2,1,0,4.0,Rosedale Garden Action Area III,2330.4,15.0,0,1,0,0,0
43,40.0,kolkata,0.6,0,-1,2,2,-1,-1,3.0,kesthopur samara pally project Kolkata,850.0,3.0,0,0,0,0,0
44,330.0,kolkata,0.2727272727272727,0,180,3,1,1,0,3.0,PS Aurus Tangra,1581.0,9.0,0,1,1,0,0
