Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,260.0,new-delhi,0.8,1,45,3,4,1,0,4.0,Hamdam Apartment Dwarka Sector 18,2000.0,8.0,0,1,1,0,0
1,20.0,new-delhi,1.0,0,45,1,2,-1,0,1.0,Rohini Sector 34,100.0,4.0,1,0,0,0,0
2,80.0,new-delhi,0.0,1,90,2,0,-1,0,3.0,"Naveen Shahdara, Shahdara",0.0,0.0,1,0,0,0,0
3,160.0,new-delhi,0.625,2,45,2,3,1,0,2.0,Philips Towers Dwarka Sector 23,1350.0,5.0,0,1,1,0,0
4,350.0,new-delhi,0.5,1,90,3,3,1,0,3.0,"Nehru Enclave, Kalkaji",1450.0,2.0,1,1,0,0,0
5,70.0,new-delhi,0.75,1,90,3,2,1,0,3.0,Dwarka,1100.0,3.0,0,1,0,0,0
6,125.0,new-delhi,0.25,0,45,2,2,-1,0,3.0,"Lajwanti Garden, Janakpuri",1000.0,1.0,1,1,0,0,0
7,,new-delhi,0.25,2,-1,2,0,-1,-1,2.0,"Karkardooma, Anand Vihar",560.0,1.0,0,0,0,0,0
8,1375.0,new-delhi,1.0,1,0,6,4,1,0,5.0,"Kailash Colony, Greater Kailash",4400.0,3.0,1,1,1,0,1
9,850.0,new-delhi,0.25,1,0,4,2,-1,0,4.0,Rajendra Place,2800.0,1.0,1,1,1,0,0
10,650.0,new-delhi,0.5,0,45,4,2,-1,0,4.0,New Rajendra Nagar,2200.0,2.0,0,1,1,0,0
11,2300.0,new-delhi,0.0,1,45,5,5,1,0,4.0,Vasant Vihar,6400.0,0.0,1,1,0,0,0
12,2000.0,new-delhi,0.0,2,45,5,5,1,0,4.0,Vasant Vihar Builder Floor Vasant Vihar,6400.0,0.0,1,1,0,0,0
13,215.0,new-delhi,0.2222222222222222,1,45,3,3,1,0,4.0,Neelanchal Apartment Dwarka,2400.0,2.0,0,1,1,0,0
14,72.0,new-delhi,1.0,0,90,3,2,1,2,3.0,Freedom Fighters Enclave,1800.0,3.0,0,1,1,0,0
15,24.0,new-delhi,0.25,1,90,2,1,0,0,2.0,Dwarka Mor,450.0,1.0,1,0,1,0,0
16,350.0,new-delhi,0.25,1,0,3,3,1,0,3.0,"Nehru Enclave, Kalkaji",1450.0,1.0,1,1,0,0,0
17,275.0,new-delhi,1.0,0,-1,3,0,0,-1,3.0,Green Park Extension,1500.0,2.0,0,0,0,0,0
18,37.6,new-delhi,0.0625,1,-1,2,0,-1,-1,3.0,Uttam Nagar,0.0,1.0,0,0,0,0,0
19,,new-delhi,1.0,0,180,1,1,-1,2,2.0,"Jawahar Park, Khanpur",625.0,4.0,0,0,1,0,0
20,101.0,new-delhi,0.0,1,90,2,0,0,0,2.0,"Indraprastha Extension, Patparganj",800.0,0.0,0,1,1,0,0
21,,new-delhi,0.75,1,90,1,1,-1,0,1.0,Mansa Ram Park,380.0,3.0,0,0,0,0,0
22,185.0,new-delhi,0.25,1,45,2,2,1,0,3.0,Progressive Apartment Dwarka Sector 3,1500.0,2.0,0,1,1,0,0
23,236.0,new-delhi,0.0,0,315,2,1,-1,0,3.0,Delhi Citizen Apartment Rohini,1100.0,0.0,0,0,1,0,0
24,,new-delhi,0.5,2,90,1,1,-1,-1,2.0,Gandhi Nagar,48.0,1.0,0,0,0,0,0
25,110.0,new-delhi,0.0,0,45,2,2,0,0,2.0,"Sidhartha Extention, Sidhartha Nagar",900.0,0.0,0,1,0,0,0
26,76.0,new-delhi,0.25,0,-1,2,0,-1,-1,2.0,Yamuna Vihar,0.0,1.0,0,0,0,0,0
27,24.5,new-delhi,0.25,1,45,2,1,1,0,2.0,Dwarka Mor,450.0,1.0,1,0,1,0,0
28,149.0,new-delhi,0.8,0,45,2,3,-1,0,2.0,Aakash Ganga Apartments Dwarka Sector 6,1200.0,4.0,0,1,1,0,0
29,60.0,new-delhi,0.6666666666666666,0,-1,2,0,-1,-1,2.0,Uttam Nagar,720.0,2.0,0,0,0,0,0
30,250.0,new-delhi,0.0,0,45,3,3,-1,0,3.0,DDA Flats Sector C Pocket 6 Vasant Kunj,1500.0,0.0,0,1,1,0,0
31,200.0,new-delhi,0.25,0,90,3,2,-1,0,3.0,Chittaranjan Park,1440.0,1.0,0,1,1,0,0
32,,new-delhi,0.0,0,90,1,0,-1,-1,1.0,Uttam Nagar,250.0,0.0,0,0,0,0,0
33,260.0,new-delhi,0.1,1,45,4,3,1,0,3.0,Seema Apartments Dwarka Sector 11,1880.0,1.0,0,1,1,0,0
34,85.0,new-delhi,1.0,0,45,2,2,-1,0,2.0,Vasundhara Enclave,1000.0,3.0,0,1,1,0,0
35,1250.0,new-delhi,0.5,1,-1,5,3,-1,-1,4.0,"RWA Greater Kailash 1 Chirag Enclave, Greater Kailash",3500.0,2.0,1,0,0,0,0
36,,new-delhi,0.3333333333333333,-1,-1,2,0,-1,-1,2.0,Krishna Park Colony,0.0,1.0,0,0,0,0,0
37,24.0,new-delhi,1.0,-1,-1,1,0,-1,-1,2.0,Krishna Park Colony,0.0,3.0,0,0,0,0,0
38,650.0,new-delhi,0.75,1,-1,5,4,1,0,4.0,"Vihar, Naraina",3200.0,3.0,0,0,1,0,0
39,325.0,new-delhi,0.5,1,-1,3,3,1,0,3.0,"Shivalik, Malviya Nagar",0.0,2.0,1,0,0,0,0
40,38.0,new-delhi,0.6666666666666666,1,270,2,1,-1,2,1.0,Subhash Nagar,0.0,2.0,0,1,1,0,0
41,155.0,new-delhi,0.6666666666666666,1,45,3,1,0,0,3.0,Delhi Police Apartment Dwarka Sector 16B,1050.0,2.0,0,0,1,0,0
42,400.0,new-delhi,1.0,1,-1,3,3,1,0,3.0,"Shivalik, Malviya Nagar",0.0,4.0,1,0,0,0,0
43,225.0,new-delhi,0.25,1,270,3,1,-1,0,4.0,Dwarka,2200.0,1.0,1,1,1,0,0
44,26.0,new-delhi,0.6666666666666666,0,90,1,1,-1,0,1.0,Mayur Vihar 1,450.0,2.0,0,0,1,0,0
45,95.0,new-delhi,0.0,1,45,2,2,1,0,3.0,"Shiv Nagar, Janakpuri",1300.0,0.0,0,1,1,0,0
46,45.0,new-delhi,0.0,0,-1,2,1,-1,0,2.0,"Fateh Nagar, Janakpuri",700.0,0.0,0,0,0,0,0
47,47.6,new-delhi,,1,-1,2,0,-1,-1,3.0,Metrotech Builder Floors G Block-Saket,800.0,,0,0,0,0,0
48,200.0,new-delhi,0.1,1,45,3,3,1,0,4.0,Kamakshi Apartment Dwarka Sector 6,1800.0,1.0,0,1,1,0,0
49,24.0,new-delhi,0.2,1,90,1,1,-1,2,2.0,West Vinod Nagar,400.0,1.0,0,0,0,0,0
50,79.0,new-delhi,0.75,1,90,2,3,-1,0,3.0,Vishnu Garden,110.0,3.0,0,0,1,0,0
51,400.0,new-delhi,0.0,1,90,2,4,0,0,4.0,Vasant Kunj Sector C,1650.0,0.0,0,1,1,0,0
52,110.0,new-delhi,1.0,0,0,1,2,-1,0,2.0,3rd floor dda flats BP Block pitampura New Delhi,1000.0,3.0,0,1,0,0,0
53,320.0,new-delhi,0.5,0,45,4,4,0,0,3.0,"Project Vasant Enclave Vasant Enclave, Vasant Vihar",1800.0,1.0,0,1,1,0,0
54,225.0,new-delhi,0.0,1,45,3,1,0,0,2.0,Project Vasant Enclave Vasant Vihar,1250.0,0.0,0,1,1,0,0
55,20.0,new-delhi,0.75,0,90,1,1,-1,0,1.0,"Punjabi Basti, Patel Nagar",360.0,3.0,0,0,0,0,0
56,30.0,new-delhi,0.4,1,0,1,1,-1,-1,1.0,Mehrauli,450.0,2.0,1,1,1,0,0
57,150.0,new-delhi,0.0,1,45,2,1,-1,0,3.0,Chittaranjan Park,1400.0,0.0,0,0,1,0,0
58,24.0,new-delhi,0.25,2,45,2,1,1,0,2.0,Uttam Nagar West,650.0,1.0,1,0,1,0,0
59,54.0,new-delhi,0.25,2,45,3,1,1,0,3.0,Uttam Nagar West,950.0,1.0,0,0,1,0,0
60,250.0,new-delhi,0.6666666666666666,2,-1,2,2,-1,-1,4.0,Shalimar bagh,1600.0,2.0,0,0,0,0,0
61,425.0,new-delhi,0.0,2,315,4,4,1,0,3.0,Janakpuri Block A2,2025.0,0.0,1,0,1,0,0
62,425.0,new-delhi,0.0,1,-1,3,0,-1,-1,4.0,Rajpur Road Police Lines,1600.0,0.0,0,0,0,0,0
63,340.0,new-delhi,0.5,1,45,3,2,1,0,3.0,Lajpat Nagar 3,1350.0,2.0,0,0,1,0,0
64,180.0,new-delhi,0.25,1,270,3,1,-1,0,3.0,Dwarka,1900.0,1.0,1,1,1,0,0
65,150.0,new-delhi,1.0,1,45,2,2,1,0,2.0,Classic Apartments Dwarka Sector 12,1000.0,10.0,0,1,1,0,0
66,25.0,new-delhi,0.25,1,45,2,1,-1,0,2.0,Dwarka Mor,450.0,1.0,1,0,1,0,0
67,,new-delhi,0.25,1,-1,1,1,1,-1,1.0,Rohini Sector 34,360.0,1.0,0,0,0,0,0
68,245.0,new-delhi,0.75,0,90,3,2,1,0,3.0,Janakpuri Block A3,1350.0,3.0,1,1,0,0,0
69,13.7,new-delhi,1.0,0,90,1,1,-1,0,1.0,Aashirvaad Apartment Mehrauli,398.0,5.0,0,0,0,0,0
70,35.0,new-delhi,0.6666666666666666,0,-1,1,1,-1,-1,2.0,vashishta park New Delhi,720.0,2.0,0,0,0,0,0
71,175.0,new-delhi,0.8571428571428571,1,45,2,2,1,0,3.0,Young Aheria Apartment Dwarka Sector 7,1600.0,6.0,0,1,1,0,0
72,280.0,new-delhi,0.0,0,45,3,2,-1,0,3.0,Greater Kailash 3,0.0,0.0,0,1,0,0,0
73,550.0,new-delhi,1.0,1,45,2,2,1,0,3.0,East of Kailash East Of Kailash Block E,0.0,3.0,1,1,0,0,0
74,165.0,new-delhi,0.75,1,315,2,2,0,0,3.0,Rohini Sector 9,1250.0,3.0,0,1,1,0,0
75,155.0,new-delhi,0.0,1,-1,2,2,-1,-1,3.0,DDA Flats Pocket 3 Mayur Vihar 3,1600.0,0.0,0,0,0,0,0
