Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,37.0,raipur,0.375,1,-1,2,0,-1,-1,2.0,Mowa,1212.0,3.0,0,0,0,0,0
1,72.0,raipur,0.625,2,-1,5,0,-1,-1,5.0,Mohba Bazar,2160.0,5.0,0,0,0,0,0
2,33.5,raipur,0.25,0,0,2,2,1,0,2.0,Mathpurena,650.0,2.0,1,1,0,0,0
3,33.5,raipur,1.0,1,90,2,2,1,0,2.0,Mathpurena,775.0,2.0,1,1,1,0,0
4,29.0,raipur,1.0,0,-1,3,0,-1,-1,3.0,Naya Raipur,972.0,6.0,0,0,0,0,0
5,42.0,raipur,0.2,1,90,3,2,1,0,3.0,Shankar Nagar,1300.0,2.0,1,1,1,0,0
6,35.0,raipur,0.4444444444444444,1,90,2,2,1,0,2.0,Mohba Bazar,1000.0,4.0,0,1,1,0,1
7,34.5,raipur,0.0,0,-1,2,2,-1,-1,2.0,VIP Road,920.0,0.0,1,0,0,0,0
8,28.4,raipur,0.0,0,90,2,2,1,0,2.0,VIP Road,840.0,0.0,1,1,1,0,1
9,34.5,raipur,0.0,0,90,2,1,1,0,2.0,Vidhan Sabha Road,920.0,0.0,1,1,1,0,1
10,27.0,raipur,1.0,2,-1,2,0,-1,-1,2.0,Avinash Maruti Residency Phase 1 and 2 Amlidhi,624.0,5.0,0,0,0,0,0
11,35.0,raipur,0.2857142857142857,0,-1,2,0,-1,-1,3.0,Naya Raipur,960.0,2.0,0,0,0,0,0
12,33.3,raipur,0.2,1,90,2,2,1,0,2.0,Kachna,885.0,2.0,1,1,1,0,0
13,42.9,raipur,0.5,0,90,3,2,-1,0,3.0,Anandam World City Kachna Road,1200.0,5.0,0,0,0,0,0
14,32.2,raipur,1.0,1,90,2,2,1,0,2.0,Anandam World City Kachna,850.0,2.0,1,1,1,0,0
15,31.0,raipur,0.5,1,0,2,2,-1,0,2.0,Ram Niketan Saddu,945.0,3.0,0,0,0,0,0
16,65.4,raipur,0.2,0,90,3,3,1,0,3.0,Aishwarya Empire Great Eastern Road,1500.0,2.0,0,1,1,0,0
17,45.0,raipur,0.75,-1,-1,3,0,-1,-1,3.0,DDU Nagar,1304.0,3.0,0,0,0,0,0
18,35.0,raipur,0.2857142857142857,0,90,2,2,-1,-1,2.0,Kachna,864.0,2.0,0,0,0,0,0
19,38.0,raipur,0.8,0,-1,2,1,-1,-1,3.0,Harshit Landmark Hirapur Road,865.0,8.0,0,0,0,0,0
20,27.0,raipur,0.75,2,-1,2,0,-1,-1,2.0,"varan apartments amlidih, Amlidhi Raipur",672.0,6.0,0,0,0,0,0
21,29.1,raipur,0.375,0,270,2,2,1,0,2.0,Linc Serenity Heights Labhandih,548.0,3.0,1,1,1,0,0
22,18.0,raipur,0.2,0,90,2,2,-1,-1,2.0,Kabir Nagar,820.0,1.0,0,0,0,0,0
23,34.7,raipur,0.8333333333333334,2,-1,2,0,1,-1,2.0,Golden Tower Amlidhi,935.0,5.0,0,1,0,0,0
24,30.5,raipur,0.6666666666666666,1,-1,2,2,-1,-1,2.0,Krishna Paradise Sarona,910.0,4.0,0,0,0,0,0
25,65.5,raipur,0.4545454545454545,1,-1,3,0,-1,-1,3.0,Aishwarya Empire Great Eastern Road,1453.6,5.0,0,0,0,0,0
26,56.0,raipur,0.3,1,90,2,1,1,0,2.0,Avanti Vihar,1150.0,3.0,0,1,1,0,1
27,30.0,raipur,0.5,1,-1,2,0,1,-1,2.0,Bhatagaon,652.8000000000001,2.0,0,0,0,0,0
28,4.0,raipur,0.6666666666666666,0,-1,1,0,-1,-1,1.0,Sejbahar,240.0,2.0,0,0,0,0,0
29,40.0,raipur,1.0,2,-1,2,0,-1,-1,2.0,New Dhamtari Road,960.0,1.0,0,0,0,0,0
30,35.0,raipur,0.2,2,90,2,2,1,0,2.0,New Rajendra Nagar,750.0,2.0,0,1,1,0,0
31,36.2,raipur,0.375,0,-1,3,0,1,-1,3.0,Samrajya Residency Khamtarai,800.0,3.0,1,0,0,0,0
32,32.3,raipur,0.5,0,-1,2,0,1,-1,2.0,Samrajya Residency Khamtarai,712.0,4.0,1,0,0,0,0
33,18.5,raipur,0.5,0,-1,2,2,-1,-1,2.0,"Amlidih,Near-Paani tanki Raipur",780.0,2.0,0,0,0,0,0
34,30.0,raipur,0.3333333333333333,1,-1,2,2,-1,-1,2.0,Surya Avanti Elegance Vidhan Sabha Road,850.0,2.0,0,0,0,0,0
35,52.0,raipur,0.8333333333333334,-1,-1,2,0,-1,-1,2.0,Dubey Colony,787.2,5.0,0,0,0,0,0
36,9.0,raipur,0.0,0,-1,1,1,-1,-1,1.0,Kachna Road,350.0,0.0,0,0,0,0,0
37,35.0,raipur,0.5,1,90,3,2,1,0,3.0,Vishal Nagar,1300.0,3.0,0,1,1,0,0
38,45.0,raipur,0.3333333333333333,1,90,3,2,1,0,3.0,Mohba Bazar,1350.0,3.0,0,1,1,0,1
39,34.8,raipur,0.6,0,-1,2,1,-1,-1,3.0,Harshit Landmark Hirapur Road,772.0,6.0,0,0,0,0,0
40,12.0,raipur,0.0,0,-1,1,0,-1,-1,1.0,"Pirda, Raipur Raipur",320.0,0.0,0,0,0,0,0
41,38.7,raipur,0.0,0,90,3,3,1,0,3.0,Pachpedi Naka,1148.0,0.0,1,1,1,0,1
42,40.0,raipur,0.375,1,90,3,2,1,0,3.0,Shankar Nagar,1300.0,3.0,0,1,1,0,0
43,26.0,raipur,0.3,0,-1,2,0,-1,-1,2.0,Harshit Landmark Hirapur Road,576.8000000000001,3.0,0,0,0,0,0
44,65.0,raipur,0.1666666666666667,1,270,2,0,1,0,3.0,Wallfort enclave2 Raipur,1300.0,1.0,0,1,0,0,0
45,25.0,raipur,0.1666666666666667,0,-1,2,2,-1,0,2.0,Amlidhi,660.0,1.0,0,0,0,0,0
46,150.0,raipur,0.25,2,90,3,3,-1,-1,3.0,Ashoka Ratan Shankar Nagar,2100.0,2.0,1,1,1,0,1
47,30.0,raipur,0.75,0,-1,3,1,0,3,3.0,Mahaveer Nagar,1100.0,3.0,0,0,0,0,0
48,8.5,raipur,0.5,1,-1,1,0,-1,-1,1.0,Housing Board Colony,256.8,1.0,0,0,0,0,0
49,82.3,raipur,0.4,0,-1,4,2,-1,0,4.0,Palm Bellagio Shankar Nagar,1880.0,4.0,0,0,0,0,0
50,60.0,raipur,0.6666666666666666,0,-1,4,2,-1,0,4.0,Sainath Sapphire Green Plot Vidhan Sabha Road,1800.0,4.0,0,0,0,0,0
51,65.4,raipur,1.0,0,90,3,3,1,0,3.0,Aishwarya Empire Great Eastern Road,1500.0,3.0,0,1,1,0,1
52,50.0,raipur,1.0,2,-1,3,0,1,-1,3.0,Vishal Nagar,1360.0,4.0,0,0,0,0,0
53,,raipur,1.0,0,-1,0,0,-1,-1,,Naya Raipur,280.0,3.0,0,0,0,0,0
54,28.0,raipur,0.4,0,-1,2,0,-1,-1,2.0,Daldal Seoni,680.0,2.0,0,0,0,0,0
