Index,Price (in lakhs),City,Floor (Ratio),Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,BHK,Location,Final Carpet Area (in sqft),CurrentFloor,Transaction,Garden/Park,Main Road,Not Available,Pool
0,45.4,ranchi,0.5555555555555556,0,-1,2,0,-1,-1,2.0,Sector 2 Masibari,920.0,5.0,1,0,0,0,0
1,57.2,ranchi,0.8888888888888888,0,90,2,2,1,0,3.0,Argora,1040.0,8.0,1,1,1,0,0
2,78.0,ranchi,0.1111111111111111,0,90,2,1,1,0,3.0,Argora,1380.0,1.0,1,0,1,0,0
3,60.0,ranchi,0.75,2,-1,3,0,-1,-1,3.0,Shalimar Bagh Kathal More,1373.6,3.0,0,0,0,0,0
4,38.0,ranchi,0.75,1,45,2,2,1,0,2.0,Namkum,784.0,3.0,0,0,0,0,0
5,56.0,ranchi,0.25,0,90,2,3,1,0,3.0,Kutchery Road,980.0,1.0,0,0,1,0,0
6,60.0,ranchi,0.5,1,-1,3,2,-1,-1,3.0,Shalimar Bagh Kathal More,1439.0,2.0,0,0,0,0,0
7,75.0,ranchi,0.75,0,90,2,2,-1,0,3.0,rajsukh apartment Ranchi,1350.0,3.0,0,0,1,0,0
8,65.0,ranchi,0.75,1,90,3,2,-1,0,3.0,Bariatu,1800.0,3.0,1,0,1,0,0
9,58.0,ranchi,0.75,2,90,2,2,1,0,3.0,North Office Para,1056.0,3.0,0,0,0,0,0
10,50.0,ranchi,0.5,1,45,2,2,1,0,2.0,Bariatu Road,1000.0,2.0,0,0,1,0,0
11,65.0,ranchi,0.5,1,90,2,4,1,0,3.0,Road,1152.0,2.0,0,0,0,0,0
12,26.6,ranchi,,2,-1,2,0,-1,-1,2.0,Anurag Palace Kumhartoli,670.4000000000001,,0,0,0,0,0
13,28.6,ranchi,,1,-1,1,0,-1,-1,2.0,Anurag Palace Kumhartoli,700.0,,0,0,0,0,0
14,59.0,ranchi,0.5,0,0,3,1,-1,0,3.0,Namkum,1200.0,4.0,1,1,1,0,1
15,85.0,ranchi,0.75,0,90,3,3,-1,0,3.0,Balaji appartment Ranchi,1541.0,3.0,0,0,0,0,0
16,65.0,ranchi,0.8888888888888888,0,-1,2,0,-1,-1,3.0,Kathal More,1120.0,8.0,0,0,0,0,0
17,48.0,ranchi,0.6,1,-1,2,0,-1,-1,3.0,"Indrapuri Colony, Ranchi Ranchi",1232.0,3.0,0,0,0,0,0
18,60.0,ranchi,0.6,1,-1,3,0,-1,-1,3.0,Argora,1120.0,3.0,0,0,0,0,0
19,35.0,ranchi,0.5,2,-1,2,2,-1,-1,2.0,South Office Para,900.0,2.0,0,0,0,0,0
20,72.0,ranchi,0.8333333333333334,0,-1,2,0,-1,-1,3.0,Argora,1152.0,5.0,0,0,0,0,0
21,58.0,ranchi,1.0,1,45,2,3,1,0,3.0,Singh More,1160.0,4.0,0,0,0,0,0
22,52.0,ranchi,0.25,0,-1,2,1,1,0,3.0,Singh More,1176.0,1.0,0,0,1,0,0
23,77.0,ranchi,0.2,1,-1,2,3,1,0,3.0,Nivaranpur,1265.0,1.0,0,0,0,0,0
24,70.0,ranchi,0.8333333333333334,1,90,2,5,-1,0,3.0,Global Residency Kathal More,1365.0,5.0,0,0,0,0,0
25,64.0,ranchi,1.0,1,45,2,2,1,0,3.0,Hinoo,1092.0,3.0,0,0,0,0,0
26,50.0,ranchi,0.4,0,-1,2,2,1,-1,2.0,"vaishnavi apartment, harmu Ranchi",768.0,2.0,0,0,0,0,0
27,40.0,ranchi,0.5,0,45,2,2,1,0,2.0,Amethiya Nagar,960.0,2.0,0,0,0,0,0
28,66.0,ranchi,0.5,0,90,2,3,1,0,3.0,Kathal More,1420.0,2.0,1,0,1,0,0
29,74.0,ranchi,0.25,2,90,2,2,1,0,3.0,Argora,1475.0,1.0,1,0,1,0,0
30,20.0,ranchi,0.75,1,-1,2,1,-1,-1,2.0,Vastu Vihar Hardag,600.0,3.0,0,0,0,0,0
31,55.0,ranchi,1.0,0,45,2,2,1,0,2.0,Harmu Colony,818.0,4.0,0,0,0,0,0
32,64.0,ranchi,0.5,0,90,2,2,1,0,3.0,Kathal More,1450.0,2.0,1,0,1,0,0
33,48.0,ranchi,0.8,1,-1,2,3,-1,-1,3.0,Shalimar Bagh Kathal More,960.0,4.0,0,0,0,0,0
34,69.1,ranchi,0.5,0,90,2,3,1,0,3.0,Bahu Bazar,1152.0,2.0,0,0,0,0,0
35,140.0,ranchi,1.0,1,90,3,5,1,0,4.0,Vikas Nagar,2880.0,4.0,0,0,1,0,0
36,90.2,ranchi,0.25,0,90,2,3,1,0,3.0,Lalpur,1312.0,1.0,0,0,0,0,0
37,58.6,ranchi,0.75,0,45,2,2,1,0,2.0,Bahu Bazar,976.0,3.0,0,0,0,0,0
38,,ranchi,0.5,1,-1,2,0,-1,-1,3.0,Kanke,1056.8,2.0,0,0,0,0,0
39,20.0,ranchi,0.75,1,-1,2,0,-1,-1,2.0,"Vastu vihar, BIT Mesra, Ranchi 835215 Ranchi",480.0,3.0,0,0,0,0,0
40,40.0,ranchi,1.0,0,0,2,2,1,-1,3.0,South Office Para,1234.0,4.0,0,0,0,0,0
41,125.0,ranchi,0.3333333333333333,1,90,2,2,1,0,3.0,Lalpur,950.0,1.0,0,0,1,0,0
42,48.0,ranchi,0.8,1,180,2,1,-1,0,2.0,Lalpur,848.0,4.0,0,0,1,0,0
43,59.5,ranchi,1.0,0,90,2,2,1,0,3.0,Kathal More,1360.0,4.0,0,0,0,0,0
44,105.0,ranchi,1.0,2,90,3,3,-1,0,3.0,Lalpur,1280.0,7.0,1,1,0,0,0
45,68.0,ranchi,0.25,0,90,2,2,1,0,3.0,New Pundag,1500.0,1.0,1,0,1,0,0
46,183.0,ranchi,0.25,1,90,3,1,1,0,4.0,Astor Green Kanke,2160.0,3.0,1,1,1,0,1
47,75.7,ranchi,0.6470588235294118,1,-1,2,2,-1,-1,3.0,Bariatu Road,1320.0,11.0,0,0,0,0,0
48,41.2,ranchi,0.5555555555555556,0,90,2,2,1,0,2.0,Bariatu Road,732.0,5.0,1,0,1,0,0
49,45.0,ranchi,0.75,0,-1,2,2,-1,-1,3.0,Hinoo,1000.0,3.0,0,0,0,0,0
50,40.0,ranchi,0.875,1,-1,2,1,1,0,2.0,Godavari Plaza Singh More,1050.0,7.0,0,0,1,0,0
51,50.0,ranchi,1.0,0,0,2,1,1,0,2.0,Chiraundi,900.0,6.0,1,1,1,0,0
52,126.0,ranchi,0.09090909090909091,0,-1,3,3,1,0,3.0,Bariatu Road,1700.0,1.0,0,1,0,0,0
53,49.5,ranchi,0.25,0,45,2,2,1,0,2.0,Argora,880.0,2.0,0,0,0,0,0
54,55.0,ranchi,,-1,-1,0,0,-1,-1,3.0,Kusum Vihar Morabadi,1120.0,,0,0,0,0,0
55,62.0,ranchi,0.5,0,90,2,2,1,0,3.0,Bariatu,1500.0,2.0,1,0,1,0,0
56,110.0,ranchi,0.3846153846153846,1,90,2,2,-1,0,3.0,Vasundhara Palm Island Karam Toli,1348.0,5.0,0,1,0,0,0
57,79.0,ranchi,0.3333333333333333,1,225,2,2,-1,0,3.0,Ashok Nagar,1325.0,1.0,0,0,0,0,0
58,36.0,ranchi,0.3333333333333333,0,45,2,2,1,0,2.0,Singh More,800.0,1.0,0,0,0,0,0
59,45.0,ranchi,0.75,0,90,2,2,-1,0,2.0,Sri Ram Agency Hesag,950.0,3.0,0,0,0,0,0
60,65.0,ranchi,0.5,0,-1,2,0,-1,-1,3.0,Chesire home Road Bariatu Ranchi,1200.0,2.0,0,0,0,0,0
61,64.8,ranchi,0.3333333333333333,0,0,2,3,1,0,3.0,Bariatu Road,1152.0,3.0,1,0,1,0,0
62,42.8,ranchi,0.6666666666666666,0,90,2,2,1,0,2.0,Hawai Nagar,816.0,2.0,1,0,0,0,0
63,58.0,ranchi,0.75,0,-1,2,0,-1,-1,2.0,Morabadi,480.0,3.0,0,0,0,0,0
64,43.0,ranchi,0.25,1,225,2,0,1,0,2.0,Argora,903.2,1.0,0,0,1,0,0
65,48.8,ranchi,0.6666666666666666,0,180,2,2,1,0,2.0,Rajlaxmi Apartment Doranda,930.0,2.0,1,0,1,0,0
